[1148, 1271]
[1150, 1433]
[1161, 1171]
[1165, 1233]
[1166, 1290]
[1169, 1358]
[1175, 1399]
[1176, 1186]
[1180, 1432]
[1183, 1351]
[1197, 1426]
[1201, 1276]
[1204, 1281]
[1206, 1210]
[1219, 1427]
[1230, 1250]
[1234, 1436]
[1239, 1344]
[1240, 1395]
[1291, 1346]
[1295, 1322]
[1301, 1342]
[1308, 1373]
[1318, 1430]
[1324, 1421]
[1352, 1364]
[1355, 1390]
[1359, 1376]
[1363, 1410]
[1394, 1409]
