(38, 70, 112, 6)->[0, (10-4*r5), (7-3*r5), (-3+1*r5)]
(32, 73, 76, 95)->[(11-5*r5), (-3+1*r5), (-3+1*r5), (-3+1*r5)]
(32, 58, 76, 95)->[(-7+3*r5), (4-2*r5), (-3+1*r5), (8-4*r5)]
(96, 75, 43, 116)->[(3-1*r5), (-11+5*r5), (-3+1*r5), (-3+1*r5)]
(107, 65, 59, 87)->[(-11+5*r5), (-3+1*r5), (-3+1*r5), (3-1*r5)]
(40, 17, 118, 87)->[(-7+3*r5), (1-1*r5), (-7+3*r5), (7-3*r5)]
(24, 9, 34, 21)->[(7-3*r5), (10-4*r5), (-3+1*r5), 0]
(48, 80, 77, 45)->[(10-4*r5), (-4+2*r5), (-4+2*r5), (-4+2*r5)]
(65, 28, 87, 7)->[0, (-3+1*r5), (-10+4*r5), (7-3*r5)]
(35, 119, 101, 47)->[(-8+4*r5), (-3+1*r5), (4-2*r5), (-7+3*r5)]
(98, 19, 29, 102)->[(-4+2*r5), (11-5*r5), (-1+1*r5), 0]
(57, 37, 22, 71)->[(-10+4*r5), (3-1*r5), (-7+3*r5), 0]
(40, 105, 11, 39)->[(-10+4*r5), (-3+1*r5), (-7+3*r5), 0]
(43, 28, 101, 119)->[(3-1*r5), (4-2*r5), (8-4*r5), (-7+3*r5)]
(54, 26, 90, 46)->[(-11+5*r5), (-3+1*r5), (3-1*r5), (-3+1*r5)]
(62, 81, 26, 46)->[(-7+3*r5), (-3+1*r5), (-8+4*r5), (4-2*r5)]
(56, 83, 104, 14)->[(-7+3*r5), (3-1*r5), (-8+4*r5), (-4+2*r5)]
(41, 68, 62, 23)->[(8-4*r5), (-7+3*r5), (3-1*r5), (4-2*r5)]
(96, 91, 75, 4)->[(3-1*r5), 0, (-7+3*r5), (-10+4*r5)]
(104, 82, 102, 14)->[(-7+3*r5), (7-3*r5), (-1+1*r5), (7-3*r5)]
(16, 41, 82, 13)->[(-10+4*r5), 0, (3-1*r5), (7-3*r5)]
(109, 117, 5, 30)->[0, (-8+4*r5), 0, (-8+4*r5)]
(98, 27, 20, 46)->[(7-3*r5), (-10+4*r5), (3-1*r5), 0]
(115, 63, 71, 39)->[(-10+4*r5), 0, (-3+1*r5), (-7+3*r5)]
(56, 117, 3, 37)->[(-3+1*r5), (-8+4*r5), (7-3*r5), (-4+2*r5)]
(26, 19, 44, 85)->[(7-3*r5), 0, (10-4*r5), (-3+1*r5)]
(9, 21, 22, 33)->[(-7+3*r5), (10-4*r5), (-3+1*r5), 0]
(8, 50, 61, 70)->[(-4+2*r5), (-8+4*r5), (3-1*r5), (-7+3*r5)]
(41, 114, 84, 105)->[(8-4*r5), (-3+1*r5), (-4+2*r5), (7-3*r5)]
(88, 49, 107, 101)->[(-8+4*r5), (-7+3*r5), (-3+1*r5), (-4+2*r5)]
(24, 9, 100, 116)->[(7-3*r5), (3-1*r5), (8-4*r5), (4-2*r5)]
(80, 1, 42, 86)->[(3-1*r5), 0, (7-3*r5), (10-4*r5)]
(48, 86, 109, 30)->[(-4+2*r5), (3-1*r5), (7-3*r5), (-8+4*r5)]
(48, 42, 80, 86)->[(3-1*r5), (7-3*r5), (-4+2*r5), (-8+4*r5)]
(108, 18, 84, 82)->[(4-2*r5), (-7+3*r5), (-8+4*r5), (3-1*r5)]
(99, 52, 111, 39)->[(8-4*r5), (-7+3*r5), (-3+1*r5), (-4+2*r5)]
(66, 4, 90, 47)->[(3-1*r5), (-3+1*r5), (-11+5*r5), (-3+1*r5)]
(100, 116, 75, 12)->[(7-3*r5), (-4+2*r5), (-3+1*r5), (8-4*r5)]
(118, 27, 20, 46)->[(-11+5*r5), (1-1*r5), (-4+2*r5), 0]
(62, 113, 54, 15)->[(4-2*r5), (4-2*r5), (-4+2*r5), (-10+4*r5)]
(33, 99, 110, 71)->[(-3+1*r5), (-4+2*r5), (8-4*r5), (7-3*r5)]
(115, 39, 95, 7)->[(-3+1*r5), (4-2*r5), (8-4*r5), (-7+3*r5)]
(99, 52, 71, 39)->[(-10+4*r5), 0, (-3+1*r5), (7-3*r5)]
(118, 114, 27, 46)->[(11-5*r5), (1-1*r5), (-4+2*r5), 0]
(48, 83, 109, 30)->[(7-3*r5), (-8+4*r5), (-4+2*r5), (3-1*r5)]
(38, 12, 112, 6)->[0, (-8+4*r5), 0, (8-4*r5)]
(97, 69, 45, 55)->[(-1+1*r5), (7-3*r5), (7-3*r5), (-7+3*r5)]
(90, 55, 78, 47)->[(10-4*r5), (4-2*r5), (-4+2*r5), (4-2*r5)]
(8, 48, 104, 29)->[(-4+2*r5), (-4+2*r5), (10-4*r5), (-4+2*r5)]
(32, 25, 73, 95)->[(-7+3*r5), (8-4*r5), (4-2*r5), (-3+1*r5)]
(70, 3, 36, 14)->[(4-2*r5), (-8+4*r5), (3-1*r5), (-7+3*r5)]
(40, 73, 87, 7)->[(-7+3*r5), (-10+4*r5), (-3+1*r5), 0]
(9, 100, 94, 33)->[(-7+3*r5), (3-1*r5), (8-4*r5), (4-2*r5)]
(64, 117, 5, 110)->[(4-2*r5), (3-1*r5), (-7+3*r5), (-8+4*r5)]
(51, 27, 60, 79)->[(7-3*r5), (8-4*r5), (-4+2*r5), (3-1*r5)]
(21, 92, 5, 110)->[(11-5*r5), (3-1*r5), (-3+1*r5), (3-1*r5)]
(66, 20, 90, 47)->[(3-1*r5), (8-4*r5), (7-3*r5), (4-2*r5)]
(18, 29, 98, 79)->[(-4+2*r5), (4-2*r5), (10-4*r5), (-4+2*r5)]
(10, 52, 53, 111)->[(-3+1*r5), (-7+3*r5), (4-2*r5), (-8+4*r5)]
(20, 79, 60, 31)->[(3-1*r5), (8-4*r5), (7-3*r5), (-4+2*r5)]
(24, 33, 100, 89)->[0, (-4+2*r5), (1-1*r5), (11-5*r5)]
(11, 63, 95, 39)->[(-10+4*r5), (4-2*r5), (4-2*r5), (4-2*r5)]
(40, 25, 118, 73)->[(-7+3*r5), (1-1*r5), (-7+3*r5), (-7+3*r5)]
(113, 74, 44, 54)->[0, (11-5*r5), (-4+2*r5), (1-1*r5)]
(70, 3, 36, 6)->[(4-2*r5), (10-4*r5), (-4+2*r5), (4-2*r5)]
(2, 83, 50, 30)->[(7-3*r5), (-1+1*r5), (7-3*r5), (7-3*r5)]
(11, 23, 63, 15)->[(-10+4*r5), (-7+3*r5), 0, (-3+1*r5)]
(72, 65, 59, 53)->[0, (-7+3*r5), (-3+1*r5), (10-4*r5)]
(96, 69, 55, 47)->[(-1+1*r5), (11-5*r5), 0, (4-2*r5)]
(99, 52, 53, 110)->[(-3+1*r5), (-11+5*r5), (-3+1*r5), (3-1*r5)]
(36, 85, 14, 68)->[(4-2*r5), (-4+2*r5), (10-4*r5), (4-2*r5)]
(2, 117, 21, 30)->[0, (-1+1*r5), (11-5*r5), (-4+2*r5)]
(113, 36, 85, 68)->[(4-2*r5), (7-3*r5), (-8+4*r5), (-3+1*r5)]
(33, 115, 100, 94)->[(4-2*r5), (-4+2*r5), (-10+4*r5), (4-2*r5)]
(116, 91, 12, 38)->[(-4+2*r5), (3-1*r5), (-7+3*r5), (8-4*r5)]
(72, 1, 59, 93)->[(7-3*r5), (-7+3*r5), (-7+3*r5), (-1+1*r5)]
(80, 69, 78, 31)->[(-1+1*r5), (-7+3*r5), (7-3*r5), (7-3*r5)]
(17, 10, 51, 84)->[(4-2*r5), (-3+1*r5), (7-3*r5), (-8+4*r5)]
(100, 89, 115, 76)->[(11-5*r5), 0, (1-1*r5), (4-2*r5)]
(32, 66, 4, 54)->[(7-3*r5), (-3+1*r5), 0, (-10+4*r5)]
(101, 69, 47, 31)->[(-1+1*r5), (4-2*r5), (11-5*r5), 0]
(8, 48, 83, 50)->[(-4+2*r5), (-8+4*r5), (3-1*r5), (7-3*r5)]
(72, 93, 5, 86)->[(7-3*r5), (7-3*r5), (-7+3*r5), (-1+1*r5)]
(81, 18, 82, 102)->[(-7+3*r5), (-7+3*r5), (-1+1*r5), (7-3*r5)]
(80, 45, 29, 78)->[(10-4*r5), 0, (3-1*r5), (7-3*r5)]
(90, 19, 78, 98)->[(3-1*r5), (4-2*r5), (-8+4*r5), (-7+3*r5)]
(58, 67, 63, 15)->[(-3+1*r5), 0, (-7+3*r5), (-10+4*r5)]
(16, 56, 64, 37)->[(8-4*r5), (-4+2*r5), (7-3*r5), (3-1*r5)]
(10, 51, 108, 93)->[(-7+3*r5), (-7+3*r5), (7-3*r5), (-1+1*r5)]
(97, 61, 45, 55)->[(10-4*r5), (-4+2*r5), (-4+2*r5), (4-2*r5)]
(57, 3, 36, 13)->[(8-4*r5), (3-1*r5), (-4+2*r5), (-7+3*r5)]
(81, 41, 68, 62)->[(-3+1*r5), (4-2*r5), (-8+4*r5), (-7+3*r5)]
(19, 44, 61, 55)->[(3-1*r5), (-11+5*r5), (3-1*r5), (-3+1*r5)]
(24, 49, 106, 92)->[(-4+2*r5), (-4+2*r5), (-10+4*r5), (-4+2*r5)]
(107, 35, 28, 87)->[(-4+2*r5), (8-4*r5), (-3+1*r5), (7-3*r5)]
(113, 67, 23, 15)->[(-3+1*r5), 0, (7-3*r5), (-10+4*r5)]
(112, 85, 61, 70)->[(-11+5*r5), (3-1*r5), (3-1*r5), (-3+1*r5)]
(9, 2, 34, 38)->[(7-3*r5), (-1+1*r5), (-7+3*r5), (-7+3*r5)]
(112, 70, 36, 6)->[(-7+3*r5), (-8+4*r5), (-4+2*r5), (-3+1*r5)]
(88, 49, 106, 103)->[(-8+4*r5), (7-3*r5), (-3+1*r5), (-4+2*r5)]
(32, 58, 95, 15)->[(4-2*r5), (4-2*r5), (4-2*r5), (-10+4*r5)]
(96, 91, 75, 116)->[(3-1*r5), (7-3*r5), (4-2*r5), (8-4*r5)]
(17, 60, 118, 87)->[0, (1-1*r5), (11-5*r5), (-4+2*r5)]
(9, 2, 34, 21)->[(-11+5*r5), (-1+1*r5), (4-2*r5), 0]
(98, 20, 78, 79)->[(3-1*r5), (-3+1*r5), (3-1*r5), (-11+5*r5)]
(48, 80, 45, 29)->[(-8+4*r5), (7-3*r5), (3-1*r5), (-4+2*r5)]
(65, 111, 87, 7)->[(-7+3*r5), (-3+1*r5), (8-4*r5), (-4+2*r5)]
(66, 35, 119, 47)->[(3-1*r5), (8-4*r5), (-7+3*r5), (4-2*r5)]
(102, 26, 19, 98)->[(7-3*r5), (-7+3*r5), (-1+1*r5), (-7+3*r5)]
(57, 3, 37, 22)->[(8-4*r5), (-8+4*r5), 0, 0]
(40, 105, 114, 11)->[(8-4*r5), (8-4*r5), 0, 0]
(43, 28, 119, 76)->[(-4+2*r5), (4-2*r5), (-10+4*r5), (4-2*r5)]
(54, 66, 90, 46)->[(7-3*r5), (8-4*r5), (-4+2*r5), (-3+1*r5)]
(62, 81, 114, 46)->[(4-2*r5), (8-4*r5), (3-1*r5), (-7+3*r5)]
(8, 83, 104, 14)->[0, (3-1*r5), (10-4*r5), (7-3*r5)]
(41, 11, 62, 23)->[(-10+4*r5), (4-2*r5), (-4+2*r5), (4-2*r5)]
(96, 91, 4, 55)->[(-8+4*r5), 0, 0, (8-4*r5)]
(8, 102, 104, 14)->[0, (-4+2*r5), (-1+1*r5), (-11+5*r5)]
(98, 27, 20, 79)->[(-4+2*r5), (8-4*r5), (3-1*r5), (7-3*r5)]
(33, 110, 21, 22)->[(4-2*r5), (-8+4*r5), (-3+1*r5), (7-3*r5)]
(56, 83, 3, 117)->[(4-2*r5), (10-4*r5), (-4+2*r5), (-4+2*r5)]
(26, 19, 85, 102)->[(-11+5*r5), 0, (-1+1*r5), (4-2*r5)]
(8, 50, 83, 70)->[(7-3*r5), (10-4*r5), (3-1*r5), 0]
(16, 41, 84, 105)->[(-10+4*r5), (4-2*r5), (-4+2*r5), (-4+2*r5)]
(72, 49, 88, 107)->[(3-1*r5), (11-5*r5), (-3+1*r5), (3-1*r5)]
(24, 9, 100, 33)->[0, (3-1*r5), (-10+4*r5), (-7+3*r5)]
(1, 42, 93, 86)->[(-4+2*r5), 0, (-11+5*r5), (-1+1*r5)]
(32, 25, 54, 15)->[(-7+3*r5), (-3+1*r5), 0, (-10+4*r5)]
(16, 108, 82, 84)->[(-3+1*r5), (11-5*r5), (3-1*r5), (3-1*r5)]
(66, 4, 90, 54)->[(-4+2*r5), (-3+1*r5), (7-3*r5), (8-4*r5)]
(116, 91, 75, 12)->[(-4+2*r5), (-4+2*r5), (4-2*r5), (-10+4*r5)]
(33, 99, 92, 110)->[(4-2*r5), (-4+2*r5), (-10+4*r5), (-4+2*r5)]
(115, 99, 39, 7)->[(-3+1*r5), (-7+3*r5), (-10+4*r5), 0]
(99, 52, 110, 71)->[(8-4*r5), (7-3*r5), (-3+1*r5), (-4+2*r5)]
(17, 114, 27, 118)->[(-7+3*r5), (1-1*r5), (7-3*r5), (7-3*r5)]
(117, 83, 109, 30)->[0, (10-4*r5), (7-3*r5), (3-1*r5)]
(69, 45, 78, 55)->[(-1+1*r5), 0, (-4+2*r5), (11-5*r5)]
(90, 19, 78, 55)->[(-8+4*r5), (-7+3*r5), (3-1*r5), (4-2*r5)]
(8, 48, 83, 104)->[(7-3*r5), (3-1*r5), (-8+4*r5), (-4+2*r5)]
(32, 25, 66, 73)->[0, (-10+4*r5), (-7+3*r5), (-3+1*r5)]
(117, 3, 37, 22)->[(-3+1*r5), (10-4*r5), 0, (7-3*r5)]
(3, 36, 13, 14)->[(-3+1*r5), (3-1*r5), (3-1*r5), (11-5*r5)]
(34, 77, 30, 106)->[(3-1*r5), (-8+4*r5), (-7+3*r5), (-4+2*r5)]
(73, 28, 87, 7)->[0, (8-4*r5), (8-4*r5), 0]
(9, 94, 22, 33)->[(4-2*r5), (-8+4*r5), (-3+1*r5), (-7+3*r5)]
(64, 109, 117, 5)->[(-7+3*r5), (3-1*r5), 0, (10-4*r5)]
(17, 27, 60, 51)->[0, (-10+4*r5), (7-3*r5), (3-1*r5)]
(21, 92, 5, 106)->[(-11+5*r5), (3-1*r5), (-3+1*r5), (3-1*r5)]
(65, 49, 92, 89)->[(-11+5*r5), 0, (1-1*r5), (-4+2*r5)]
(100, 89, 43, 76)->[(-11+5*r5), 0, (1-1*r5), (4-2*r5)]
(66, 35, 20, 47)->[(3-1*r5), (-10+4*r5), 0, (-7+3*r5)]
(18, 27, 98, 79)->[(7-3*r5), (-3+1*r5), (-8+4*r5), (-4+2*r5)]
(10, 59, 53, 111)->[(4-2*r5), (4-2*r5), (4-2*r5), (10-4*r5)]
(27, 20, 60, 79)->[(-4+2*r5), (-10+4*r5), (-4+2*r5), (-4+2*r5)]
(89, 33, 115, 100)->[(-7+3*r5), (7-3*r5), (1-1*r5), (-7+3*r5)]
(73, 25, 66, 118)->[0, (1-1*r5), (11-5*r5), (4-2*r5)]
(54, 74, 4, 44)->[(7-3*r5), (-7+3*r5), (7-3*r5), (1-1*r5)]
(70, 2, 3, 6)->[(-7+3*r5), (-1+1*r5), (7-3*r5), (-7+3*r5)]
(2, 34, 50, 30)->[(-4+2*r5), (-1+1*r5), 0, (-11+5*r5)]
(72, 65, 92, 53)->[0, 0, (8-4*r5), (-8+4*r5)]
(96, 4, 55, 47)->[(10-4*r5), (-7+3*r5), 0, (-3+1*r5)]
(2, 117, 21, 22)->[(-7+3*r5), (-1+1*r5), (-7+3*r5), (7-3*r5)]
