(2, 117, 20, 77)->[(-1-1*r5), 2, 4, (1-1*r5)]
(32, 48, 4, 70)->[(0+2*r5), (1-1*r5), 0, (-1-1*r5)]
(9, 68, 102, 15)->[(1-1*r5), (-1-1*r5), -4, -2]
(66, 92, 29, 78)->[4, -2, (1-1*r5), (1+1*r5)]
(40, 74, 104, 47)->[(-3-1*r5), 2, (-3+1*r5), 0]
(108, 59, 20, 77)->[-2, (-1+1*r5), 4, (-1-1*r5)]
(40, 2, 34, 74)->[(-3-1*r5), (-1+1*r5), (-1+1*r5), (-1+1*r5)]
(42, 118, 13, 98)->[(-1+1*r5), 2, (-1-1*r5), -4]
(40, 104, 47, 31)->[(0-2*r5), (1+1*r5), (1-1*r5), 0]
(25, 11, 36, 95)->[4, (1+1*r5), 2, (-1+1*r5)]
(17, 18, 59, 14)->[(1-1*r5), (1-1*r5), (-1+1*r5), (-3-1*r5)]
(57, 114, 11, 76)->[(1+1*r5), 4, (1-1*r5), 2]
(91, 35, 28, 95)->[2, 2, 2, (0+2*r5)]
(66, 119, 29, 7)->[(3+1*r5), (-3+1*r5), 0, 2]
(100, 65, 107, 36)->[2, 4, (1+1*r5), (1-1*r5)]
(25, 50, 4, 22)->[(0+2*r5), 0, (1+1*r5), (1-1*r5)]
(80, 1, 53, 78)->[2, (1-1*r5), -4, (1+1*r5)]
(88, 75, 77, 47)->[(-1-1*r5), 4, (-1+1*r5), -2]
(49, 103, 93, 55)->[-2, 2, -2, (0+2*r5)]
(105, 75, 86, 31)->[-2, (3+1*r5), 0, (3-1*r5)]
(56, 49, 79, 63)->[(-1-1*r5), (1-1*r5), -2, 4]
(104, 26, 93, 79)->[-4, (-1+1*r5), (-1-1*r5), 2]
(41, 58, 118, 98)->[2, 2, (0-2*r5), -2]
(64, 97, 90, 27)->[(1-1*r5), (-3-1*r5), (1-1*r5), (-1+1*r5)]
(104, 99, 85, 47)->[(0-2*r5), 2, -2, -2]
(32, 58, 84, 6)->[4, (1-1*r5), (-1-1*r5), -2]
(2, 20, 77, 38)->[-4, (-1+1*r5), (1+1*r5), -2]
(25, 50, 43, 100)->[(1+1*r5), (-1+1*r5), (0+2*r5), 0]
(40, 34, 74, 79)->[(-3-1*r5), (3-1*r5), 0, 2]
(57, 82, 5, 118)->[2, (0+2*r5), -2, -2]
(81, 35, 103, 55)->[(-3+1*r5), 2, 0, (3+1*r5)]
(80, 1, 94, 49)->[0, 0, -4, 4]
(70, 66, 22, 7)->[(3+1*r5), -2, (3-1*r5), 0]
(2, 10, 20, 117)->[(-1-1*r5), (-1+1*r5), (0+2*r5), 0]
(40, 104, 93, 31)->[-4, (1+1*r5), -2, (-1+1*r5)]
(24, 97, 12, 46)->[(0-2*r5), (-1-1*r5), (1-1*r5), 0]
(72, 34, 116, 103)->[(-1-1*r5), (-1+1*r5), 2, 4]
(80, 114, 28, 55)->[2, 2, -2, (0+2*r5)]
(24, 74, 85, 46)->[(-3-1*r5), (1-1*r5), (1-1*r5), (1-1*r5)]
(56, 89, 64, 39)->[(1-1*r5), (-1-1*r5), 0, (0+2*r5)]
(32, 4, 21, 7)->[(3+1*r5), (3-1*r5), 0, -2]
(65, 82, 21, 87)->[(1+1*r5), (1+1*r5), (3-1*r5), (-1-1*r5)]
(50, 44, 101, 22)->[(1+1*r5), -2, 4, (1-1*r5)]
