MeshFace([94, 244, 350, 231, 366])
MeshFace([174, 561, 338, 347, 497])
MeshFace([41, 592, 300, 113, 341])
MeshFace([161, 442, 404, 232, 212])
MeshFace([72, 233, 520, 562, 522])
MeshFace([108, 119, 361, 177, 391])
MeshFace([59, 175, 259, 353, 498])
MeshFace([87, 134, 347, 338, 470])
MeshFace([43, 85, 599, 67, 215])
MeshFace([179, 281, 283, 321, 545])
MeshFace([97, 403, 540, 120, 192])
MeshFace([173, 536, 286, 390, 348])
MeshFace([70, 400, 266, 303, 362])
MeshFace([11, 79, 214, 156, 228])
MeshFace([94, 244, 421, 120, 540])
MeshFace([95, 99, 518, 362, 194])
MeshFace([49, 257, 145, 119, 426])
MeshFace([151, 499, 588, 404, 232])
MeshFace([188, 230, 189, 292, 279])
MeshFace([237, 592, 300, 521, 265])
MeshFace([142, 343, 254, 394, 370])
MeshFace([263, 562, 522, 433, 397])
MeshFace([43, 478, 186, 178, 85])
MeshFace([47, 352, 531, 556, 308])
MeshFace([3, 312, 193, 479, 509])
MeshFace([161, 419, 451, 448, 212])
MeshFace([70, 400, 322, 440, 185])
MeshFace([222, 574, 501, 569, 405])
MeshFace([167, 188, 230, 262, 407])
MeshFace([78, 229, 154, 199, 82])
MeshFace([20, 521, 300, 113, 422])
MeshFace([324, 566, 355, 336, 513])
MeshFace([23, 63, 131, 547, 207])
MeshFace([267, 368, 388, 459, 285])
MeshFace([97, 192, 309, 149, 484])
MeshFace([2, 425, 65, 185, 539])
MeshFace([45, 382, 55, 380, 430])
MeshFace([246, 271, 588, 404, 442])
MeshFace([22, 129, 212, 448, 284])
MeshFace([58, 296, 423, 246, 180])
MeshFace([300, 521, 315, 347, 338])
MeshFace([20, 291, 587, 66, 422])
MeshFace([51, 158, 174, 561, 76])
MeshFace([44, 563, 315, 347, 134])
MeshFace([40, 378, 329, 319, 373])
MeshFace([36, 70, 400, 268, 413])
MeshFace([248, 355, 336, 343, 254])
MeshFace([69, 396, 441, 160, 135])
MeshFace([16, 131, 547, 369, 428])
MeshFace([241, 325, 593, 392, 514])
MeshFace([33, 593, 325, 324, 566])
MeshFace([54, 417, 127, 365, 482])
MeshFace([106, 266, 303, 241, 514])
MeshFace([7, 140, 62, 342, 490])
MeshFace([234, 250, 255, 305, 374])
MeshFace([149, 309, 474, 223, 457])
MeshFace([71, 420, 494, 381, 549])
MeshFace([86, 435, 392, 514, 106])
MeshFace([7, 457, 197, 452, 490])
MeshFace([20, 521, 265, 452, 197])
MeshFace([11, 228, 376, 220, 396])
