(102, 44, 110, 114, 83, 54)->[(14-10*r2), (-14+10*r2), (-40+28*r2), (-20+14*r2)]
(65, 105, 76, 49, 86, 122)->[(-14+10*r2), (-14+10*r2), (-20+14*r2), (40-28*r2)]
(128, 36, 47, 113, 51, 56)->[(14-10*r2), (42-30*r2), (-20+14*r2), 0]
(40, 41, 139, 81, 29, 126)->[(-42+30*r2), (14-10*r2), 0, (20-14*r2)]
(102, 72, 108, 121, 90, 59)->[(42-30*r2), (-14+10*r2), (-20+14*r2), 0]
(64, 108, 47, 80, 116, 90)->[(42-30*r2), (14-10*r2), (-20+14*r2), 0]
(43, 14, 91, 125, 30, 31)->[(14-10*r2), (-42+30*r2), 0, (-20+14*r2)]
(96, 106, 43, 12, 46, 125)->[0, (-28+20*r2), 0, (-40+28*r2)]
(107, 108, 82, 116, 22, 26)->[(42-30*r2), (14-10*r2), 0, (20-14*r2)]
(67, 69, 103, 10, 11, 106)->[(-28+20*r2), 0, 0, (-40+28*r2)]
(136, 137, 45, 13, 112, 114)->[(14-10*r2), (14-10*r2), (-20+14*r2), (-40+28*r2)]
(34, 99, 67, 131, 104, 140)->[(-28+20*r2), (28-20*r2), (-20+14*r2), (-20+14*r2)]
(1, 141, 17, 115, 24, 58)->[(-14+10*r2), (-14+10*r2), (40-28*r2), (-20+14*r2)]
(101, 7, 43, 14, 52, 94)->[(28-20*r2), (-28+20*r2), (20-14*r2), (-20+14*r2)]
(97, 2, 105, 76, 78, 61)->[(-28+20*r2), (-28+20*r2), (-20+14*r2), (20-14*r2)]
(3, 4, 37, 84, 88, 25)->[(-14+10*r2), (14-10*r2), (40-28*r2), (20-14*r2)]
(96, 132, 69, 18, 21, 61)->[(-28+20*r2), (-28+20*r2), (-20+14*r2), (-20+14*r2)]
(1, 98, 100, 101, 115, 52)->[(14-10*r2), (-14+10*r2), (40-28*r2), (-20+14*r2)]
(32, 142, 50, 117, 85, 92)->[0, (28-20*r2), 0, (40-28*r2)]
(32, 128, 48, 82, 51, 117)->[(14-10*r2), (42-30*r2), 0, (20-14*r2)]
(98, 101, 79, 119, 62, 63)->[(28-20*r2), 0, (40-28*r2), 0]
(78, 53, 21, 23, 61, 30)->[(-14+10*r2), (-42+30*r2), (-20+14*r2), 0]
(96, 69, 5, 106, 13, 83)->[(-14+10*r2), (-14+10*r2), (-20+14*r2), (-40+28*r2)]
(33, 3, 134, 55, 88, 62)->[0, (28-20*r2), (40-28*r2), 0]
(132, 5, 71, 44, 83, 21)->[(-14+10*r2), (-14+10*r2), (-40+28*r2), (-20+14*r2)]
(72, 73, 42, 108, 26, 95)->[(42-30*r2), (-14+10*r2), 0, (20-14*r2)]
(130, 35, 135, 139, 17, 57)->[(-42+30*r2), (-14+10*r2), (20-14*r2), 0]
(143, 112, 113, 51, 27, 28)->[(14-10*r2), (42-30*r2), 0, (-20+14*r2)]
(99, 36, 70, 109, 118, 56)->[0, (28-20*r2), (-40+28*r2), 0]
(130, 67, 40, 104, 10, 74)->[(-42+30*r2), (14-10*r2), 0, (-20+14*r2)]
(3, 133, 134, 48, 28, 93)->[(-14+10*r2), (42-30*r2), (20-14*r2), 0]
(38, 137, 45, 46, 15, 94)->[(28-20*r2), 0, 0, (-40+28*r2)]
(38, 13, 46, 114, 83, 125)->[(14-10*r2), (-14+10*r2), (-20+14*r2), (-40+28*r2)]
(9, 137, 15, 143, 116, 90)->[(42-30*r2), (14-10*r2), 0, (-20+14*r2)]
(129, 34, 103, 45, 112, 27)->[0, (28-20*r2), 0, (-40+28*r2)]
(129, 34, 133, 104, 113, 28)->[(-14+10*r2), (42-30*r2), 0, (-20+14*r2)]
(33, 39, 48, 51, 55, 28)->[(14-10*r2), (42-30*r2), (20-14*r2), 0]
(1, 134, 141, 16, 19, 88)->[(-14+10*r2), (14-10*r2), (40-28*r2), (-20+14*r2)]
(97, 35, 75, 20, 57, 127)->[(-28+20*r2), (-28+20*r2), (20-14*r2), (20-14*r2)]
(4, 92, 50, 25, 60, 126)->[(-14+10*r2), (14-10*r2), (20-14*r2), (40-28*r2)]
(35, 4, 75, 84, 24, 123)->[(-14+10*r2), (-14+10*r2), (40-28*r2), (20-14*r2)]
(101, 7, 72, 9, 119, 26)->[(42-30*r2), (-14+10*r2), (20-14*r2), 0]
(65, 42, 86, 87, 120, 89)->[(14-10*r2), (-14+10*r2), (-20+14*r2), (40-28*r2)]
(66, 98, 77, 84, 119, 123)->[(14-10*r2), (-14+10*r2), (40-28*r2), (20-14*r2)]
(4, 49, 20, 123, 60, 127)->[(-14+10*r2), (-14+10*r2), (20-14*r2), (40-28*r2)]
(1, 33, 100, 19, 62, 63)->[(14-10*r2), (14-10*r2), (40-28*r2), (-20+14*r2)]
(35, 37, 16, 17, 24, 88)->[(-28+20*r2), 0, (40-28*r2), 0]
(34, 67, 5, 103, 136, 13)->[(-14+10*r2), (14-10*r2), (-20+14*r2), (-40+28*r2)]
(129, 134, 104, 10, 16, 93)->[(-28+20*r2), (28-20*r2), (20-14*r2), (-20+14*r2)]
(6, 73, 77, 87, 123, 60)->[(14-10*r2), (-14+10*r2), (20-14*r2), (40-28*r2)]
(64, 36, 136, 44, 109, 114)->[(14-10*r2), (14-10*r2), (-40+28*r2), (-20+14*r2)]
(100, 8, 43, 46, 115, 94)->[(14-10*r2), (-14+10*r2), (20-14*r2), (-40+28*r2)]
(121, 68, 42, 89, 59, 95)->[(28-20*r2), (-28+20*r2), (-20+14*r2), (20-14*r2)]
(66, 6, 7, 73, 119, 95)->[(28-20*r2), (-28+20*r2), (20-14*r2), (20-14*r2)]
(2, 132, 135, 74, 81, 61)->[(-42+30*r2), (-14+10*r2), (-20+14*r2), 0]
(96, 12, 18, 23, 91, 30)->[(-14+10*r2), (-42+30*r2), 0, (-20+14*r2)]
(131, 99, 5, 70, 136, 44)->[(-14+10*r2), (14-10*r2), (-40+28*r2), (-20+14*r2)]
(6, 111, 53, 89, 31, 95)->[(14-10*r2), (-42+30*r2), 0, (20-14*r2)]
(76, 49, 50, 29, 126, 127)->[(-28+20*r2), 0, 0, (40-28*r2)]
(33, 39, 15, 143, 27, 63)->[(28-20*r2), (28-20*r2), (20-14*r2), (-20+14*r2)]
(8, 106, 11, 12, 141, 115)->[(-14+10*r2), (-14+10*r2), (20-14*r2), (-40+28*r2)]
(66, 7, 111, 52, 91, 31)->[(14-10*r2), (-42+30*r2), (20-14*r2), 0]
(32, 39, 79, 82, 22, 55)->[(28-20*r2), (28-20*r2), (20-14*r2), (20-14*r2)]
(66, 98, 75, 52, 24, 58)->[0, (-28+20*r2), (40-28*r2), 0]
(2, 71, 78, 86, 122, 124)->[(-14+10*r2), (-14+10*r2), (-40+28*r2), (20-14*r2)]
(107, 47, 80, 82, 117, 56)->[(28-20*r2), (28-20*r2), (-20+14*r2), (20-14*r2)]
(68, 71, 78, 110, 21, 54)->[0, (-28+20*r2), (-40+28*r2), 0]
(128, 133, 41, 142, 48, 92)->[(-14+10*r2), (42-30*r2), 0, (20-14*r2)]
(39, 9, 79, 116, 26, 63)->[(42-30*r2), (14-10*r2), (20-14*r2), 0]
(65, 138, 107, 117, 85, 120)->[(14-10*r2), (14-10*r2), (-20+14*r2), (40-28*r2)]
(65, 138, 142, 50, 122, 29)->[(-14+10*r2), (14-10*r2), (-20+14*r2), (40-28*r2)]
(6, 105, 49, 20, 87, 89)->[0, (-28+20*r2), 0, (40-28*r2)]
(32, 77, 85, 22, 25, 60)->[(14-10*r2), (14-10*r2), (20-14*r2), (40-28*r2)]
(130, 69, 135, 74, 11, 18)->[(-42+30*r2), (-14+10*r2), 0, (-20+14*r2)]
(97, 105, 111, 20, 53, 23)->[(-14+10*r2), (-42+30*r2), 0, (20-14*r2)]
(96, 83, 21, 54, 125, 30)->[0, (-28+20*r2), (-20+14*r2), (-20+14*r2)]
(66, 6, 75, 111, 20, 123)->[0, (-28+20*r2), (20-14*r2), (20-14*r2)]
(70, 71, 44, 109, 110, 124)->[0, 0, (-40+28*r2), 0]
(43, 12, 115, 52, 58, 91)->[0, (-28+20*r2), (20-14*r2), (-20+14*r2)]
(128, 138, 142, 117, 118, 56)->[0, (28-20*r2), (-20+14*r2), (20-14*r2)]
(133, 40, 41, 104, 140, 93)->[(-28+20*r2), (28-20*r2), 0, 0]
(7, 72, 14, 59, 95, 31)->[(28-20*r2), (-28+20*r2), 0, 0]
(42, 107, 108, 80, 120, 121)->[(28-20*r2), 0, (-20+14*r2), (20-14*r2)]
(39, 47, 143, 82, 51, 116)->[(28-20*r2), (28-20*r2), 0, 0]
(130, 10, 11, 141, 16, 17)->[(-28+20*r2), 0, (20-14*r2), (-20+14*r2)]
(103, 8, 106, 45, 13, 46)->[0, 0, 0, (-40+28*r2)]
(34, 99, 36, 136, 112, 113)->[0, (28-20*r2), (-20+14*r2), (-20+14*r2)]
(100, 101, 9, 15, 94, 63)->[(28-20*r2), 0, (20-14*r2), (-20+14*r2)]
(97, 135, 18, 23, 57, 61)->[(-28+20*r2), (-28+20*r2), 0, 0]
(32, 3, 48, 55, 25, 92)->[0, (28-20*r2), (20-14*r2), (20-14*r2)]
(131, 67, 69, 5, 132, 74)->[(-28+20*r2), 0, (-20+14*r2), (-20+14*r2)]
(1, 98, 84, 24, 88, 62)->[0, 0, (40-28*r2), 0]
(33, 129, 134, 19, 27, 28)->[0, (28-20*r2), (20-14*r2), (-20+14*r2)]
(73, 77, 79, 22, 119, 26)->[(28-20*r2), 0, (20-14*r2), (20-14*r2)]
(35, 4, 37, 139, 126, 127)->[(-28+20*r2), 0, (20-14*r2), (20-14*r2)]
(68, 105, 78, 53, 86, 89)->[0, (-28+20*r2), (-20+14*r2), (20-14*r2)]
(65, 49, 50, 85, 87, 60)->[0, 0, 0, (40-28*r2)]
(64, 102, 38, 137, 114, 90)->[(28-20*r2), 0, (-20+14*r2), (-20+14*r2)]
(14, 54, 59, 125, 30, 31)->[(-20+14*r2), (40-28*r2), (14-10*r2), (14-10*r2)]
(97, 75, 111, 20, 23, 57)->[(20-14*r2), (40-28*r2), (-14+10*r2), (-14+10*r2)]
(34, 99, 67, 131, 5, 136)->[(20-14*r2), (-20+14*r2), (28-20*r2), (28-20*r2)]
(11, 12, 141, 17, 115, 58)->[(20-14*r2), (20-14*r2), (-28+20*r2), (28-20*r2)]
(3, 4, 37, 25, 92, 126)->[(20-14*r2), (-20+14*r2), (-28+20*r2), (-28+20*r2)]
(65, 138, 142, 50, 117, 85)->[0, (-20+14*r2), (14-10*r2), (-42+30*r2)]
(3, 133, 41, 48, 92, 93)->[(20-14*r2), (-40+28*r2), (-14+10*r2), (-14+10*r2)]
(64, 137, 47, 143, 116, 90)->[(-40+28*r2), (-20+14*r2), (14-10*r2), (14-10*r2)]
(6, 105, 111, 20, 53, 89)->[0, (40-28*r2), 0, (-28+20*r2)]
(33, 100, 15, 19, 27, 63)->[(-20+14*r2), (-20+14*r2), (-28+20*r2), (28-20*r2)]
(139, 76, 81, 29, 126, 127)->[(40-28*r2), 0, 0, (-28+20*r2)]
(32, 39, 48, 82, 51, 55)->[(-20+14*r2), (-40+28*r2), (-14+10*r2), (-14+10*r2)]
(109, 110, 80, 120, 121, 124)->[(-20+14*r2), 0, (42-30*r2), (-14+10*r2)]
(1, 98, 115, 52, 24, 58)->[0, (20-14*r2), (-42+30*r2), (14-10*r2)]
(68, 110, 86, 120, 121, 124)->[(14-10*r2), (-14+10*r2), (-40+28*r2), (20-14*r2)]
(97, 135, 139, 76, 81, 127)->[(-42+30*r2), (-14+10*r2), 0, (20-14*r2)]
(38, 72, 9, 14, 90, 94)->[(42-30*r2), (-14+10*r2), 0, (-20+14*r2)]
(11, 12, 17, 18, 57, 58)->[(-28+20*r2), (-28+20*r2), (20-14*r2), (-20+14*r2)]
(68, 53, 54, 59, 30, 31)->[(14-10*r2), (-42+30*r2), (-20+14*r2), 0]
(128, 99, 133, 140, 113, 118)->[(-14+10*r2), (42-30*r2), (-20+14*r2), 0]
(100, 8, 45, 15, 19, 27)->[(14-10*r2), (14-10*r2), (20-14*r2), (-40+28*r2)]
(3, 37, 41, 92, 93, 126)->[(-28+20*r2), (28-20*r2), (20-14*r2), (20-14*r2)]
(64, 36, 137, 47, 112, 143)->[(28-20*r2), (28-20*r2), (-20+14*r2), (-20+14*r2)]
(73, 42, 107, 85, 22, 87)->[(28-20*r2), 0, 0, (40-28*r2)]
(130, 37, 40, 139, 16, 93)->[(-42+30*r2), (14-10*r2), (20-14*r2), 0]
(77, 79, 84, 55, 25, 62)->[(14-10*r2), (14-10*r2), (40-28*r2), (20-14*r2)]
(129, 103, 8, 10, 141, 19)->[(-14+10*r2), (14-10*r2), (20-14*r2), (-40+28*r2)]
(64, 102, 109, 110, 80, 121)->[(28-20*r2), 0, (-40+28*r2), 0]
(138, 120, 109, 80, 56, 124)->[(14-10*r2), (14-10*r2), (-40+28*r2), (20-14*r2)]
(38, 43, 46, 14, 125, 94)->[(-20+14*r2), (20-14*r2), 0, (28-20*r2)]
(111, 53, 23, 91, 30, 31)->[0, (40-28*r2), 0, 0]
(68, 102, 110, 54, 121, 59)->[(-20+14*r2), (20-14*r2), (28-20*r2), 0]
(97, 105, 76, 49, 20, 127)->[(20-14*r2), (20-14*r2), 0, (-28+20*r2)]
(128, 133, 48, 113, 51, 28)->[0, (-40+28*r2), 0, 0]
(41, 142, 50, 92, 29, 126)->[(20-14*r2), (-20+14*r2), 0, (-28+20*r2)]
(90, 72, 9, 108, 116, 26)->[(-40+28*r2), 0, 0, 0]
(96, 69, 106, 11, 12, 18)->[(20-14*r2), (20-14*r2), 0, (28-20*r2)]
(5, 136, 44, 13, 114, 83)->[0, 0, (28-20*r2), (28-20*r2)]
(65, 138, 86, 120, 122, 124)->[0, 0, (28-20*r2), (-28+20*r2)]
(35, 75, 17, 24, 57, 58)->[(20-14*r2), (20-14*r2), (-28+20*r2), 0]
(2, 132, 71, 78, 21, 61)->[(20-14*r2), (20-14*r2), (28-20*r2), 0]
(4, 77, 84, 25, 123, 60)->[0, 0, (-28+20*r2), (-28+20*r2)]
(1, 100, 8, 141, 19, 115)->[0, 0, (-28+20*r2), (28-20*r2)]
(32, 107, 82, 85, 22, 117)->[(-20+14*r2), (-20+14*r2), 0, (-28+20*r2)]
(66, 98, 101, 7, 52, 119)->[(-20+14*r2), (20-14*r2), (-28+20*r2), 0]
(3, 37, 134, 16, 88, 93)->[(20-14*r2), (-20+14*r2), (-28+20*r2), 0]
(6, 73, 42, 87, 89, 95)->[(-20+14*r2), (20-14*r2), 0, (-28+20*r2)]
(64, 36, 109, 47, 80, 56)->[(-20+14*r2), (-20+14*r2), (28-20*r2), 0]
(130, 135, 40, 74, 139, 81)->[(40-28*r2), 0, 0, 0]
(137, 45, 15, 112, 143, 27)->[(-20+14*r2), (-20+14*r2), 0, (28-20*r2)]
(129, 34, 67, 103, 104, 10)->[(20-14*r2), (-20+14*r2), 0, (28-20*r2)]
(33, 39, 79, 55, 62, 63)->[(-20+14*r2), (-20+14*r2), (-28+20*r2), 0]
