(70, 104, 141, 14, 19, 119)->[0, 4, -2*r2, -2*r2]
(128, 9, 10, 107, 52, 27)->[0, 0, 0, 4*r2]
(33, 34, 131, 115, 118, 87)->[0, -4, -2*r2, -2*r2]
(101, 102, 13, 79, 80, 55)->[4, 0, -2*r2, 2*r2]
(132, 8, 136, 106, 94, 95)->[-4, 0, -2*r2, 2*r2]
(65, 2, 43, 25, 90, 91)->[-4, 0, -2*r2, -2*r2]
(97, 39, 84, 85, 117, 56)->[0, 0, 0, -4*r2]
(40, 140, 48, 21, 89, 123)->[0, -4, -2*r2, 2*r2]
(38, 6, 103, 16, 114, 126)->[0, 4, 2*r2, -2*r2]
(129, 68, 109, 81, 57, 58)->[4, 0, 2*r2, 2*r2]
(32, 75, 111, 51, 24, 127)->[0, 4, -2*r2, 2*r2]
(4, 71, 7, 137, 17, 49)->[0, 0, 4*r2, 0]
(98, 138, 112, 60, 93, 31)->[-4, -4, 0, 0]
(96, 36, 77, 45, 113, 22)->[-4, 0, 2*r2, -2*r2]
(72, 44, 110, 46, 143, 26)->[0, -4, 2*r2, 2*r2]
(64, 67, 5, 76, 47, 88)->[4, 0, 2*r2, -2*r2]
(66, 37, 15, 83, 86, 120)->[0, -4, 2*r2, -2*r2]
(105, 42, 12, 23, 28, 125)->[0, 0, -4*r2, 0]
(100, 134, 82, 116, 29, 63)->[4, -4, 0, 0]
(1, 130, 74, 108, 20, 59)->[0, 4, 2*r2, 2*r2]
(99, 11, 78, 142, 18, 121)->[-4, 0, 2*r2, 2*r2]
(36, 41, 77, 45, 122, 62)->[-4*r2, 2*r2, 2, -2]
(97, 141, 19, 117, 119, 56)->[0, 2*r2, -2, -6]
(40, 9, 107, 52, 21, 89)->[0, -2*r2, -2, 6]
(1, 130, 38, 103, 108, 126)->[0, 4*r2, 4, 0]
(139, 111, 24, 92, 61, 127)->[-2*r2, 4*r2, -2, 2]
(67, 5, 38, 76, 16, 114)->[2*r2, 2*r2, 4, -4]
(138, 48, 89, 123, 60, 31)->[-2*r2, -4*r2, -2, 2]
(2, 122, 41, 43, 139, 90)->[-4*r2, 2*r2, -2, -2]
(101, 102, 40, 140, 21, 55)->[2*r2, -2*r2, -4, 4]
(100, 40, 140, 48, 82, 63)->[2*r2, -4*r2, -2, 2]
(130, 11, 78, 20, 121, 59)->[-2*r2, 2*r2, 4, 4]
(67, 69, 47, 50, 53, 88)->[4*r2, 0, 0, -4]
(37, 71, 17, 49, 83, 120)->[0, -2*r2, 6, -2]
(65, 34, 115, 118, 25, 91)->[-2*r2, -2*r2, -4, -4]
(96, 99, 36, 11, 45, 142)->[-4*r2, 0, 4, 0]
(1, 130, 4, 7, 137, 20)->[0, 2*r2, 6, 2]
(128, 132, 9, 106, 52, 95)->[-2*r2, 0, -2, 6]
(8, 142, 121, 122, 92, 95)->[-6, 2, 0, 2*r2]
(136, 42, 106, 21, 123, 28)->[-2, -2, -4*r2, 2*r2]
(128, 106, 51, 52, 24, 95)->[-2, 2, -2*r2, 4*r2]
(100, 40, 72, 46, 48, 63)->[2, -6, 0, 2*r2]
(6, 41, 77, 45, 126, 62)->[-4, 4, 2*r2, -2*r2]
(32, 79, 51, 23, 55, 28)->[2, 2, -4*r2, 2*r2]
(66, 113, 84, 85, 22, 120)->[-2, -2, 2*r2, -4*r2]
(132, 8, 138, 142, 18, 93)->[-6, -2, 0, 2*r2]
(1, 130, 4, 38, 137, 126)->[0, 4, 4*r2, 0]
(138, 110, 46, 48, 89, 31)->[-2, -6, 0, 2*r2]
(131, 100, 15, 116, 86, 87)->[2, -6, 0, -2*r2]
(34, 98, 115, 25, 91, 60)->[-4, -4, -2*r2, -2*r2]
(64, 37, 5, 71, 49, 120)->[2, -2, 4*r2, -2*r2]
(32, 70, 104, 111, 124, 30)->[2, 6, -2*r2, 0]
(130, 7, 137, 11, 78, 20)->[-2, 2, 4*r2, 2*r2]
(2, 36, 8, 142, 122, 93)->[-4*r2, 0, 0, 0]
(97, 67, 3, 69, 16, 19)->[2*r2, 2*r2, 0, -4]
(6, 41, 43, 77, 119, 56)->[-2*r2, 2*r2, 0, -4]
(128, 24, 121, 59, 92, 95)->[-2*r2, 2*r2, 0, 4]
(74, 75, 109, 80, 54, 27)->[2*r2, 2*r2, 0, 4]
