(529, 1242, 1444, 1754)->[(-3-1*r5), 0, 2, (-3+1*r5)]
(466, 2287, 2338, 1711)->[(1+1*r5), 4, (1-1*r5), 2]
(1818, 635, 2394, 629)->[-2, (0-2*r5), 2, -2]
(967, 1551, 2362, 543)->[0, (-3+1*r5), -2, (-3-1*r5)]
(2384, 1306, 451, 2178)->[(-1-1*r5), 4, (1-1*r5), -2]
(1916, 865, 1473, 501)->[0, (-3-1*r5), (3-1*r5), -2]
(656, 1937, 1411, 1499)->[0, (1-1*r5), (-1-1*r5), (0-2*r5)]
(1258, 772, 837, 1092)->[(1+1*r5), (-1+1*r5), 2, 4]
(1693, 989, 510, 1743)->[(1-1*r5), (-1+1*r5), (-3-1*r5), (-1+1*r5)]
(2008, 2265, 916, 1511)->[-2, (-1-1*r5), (1-1*r5), -4]
(875, 1059, 651, 1701)->[2, 2, 2, (0-2*r5)]
(1194, 691, 1702, 966)->[(3+1*r5), 0, -2, (3-1*r5)]
(1598, 954, 92, 1038)->[(-1+1*r5), -2, (1+1*r5), -4]
(2269, 849, 1996, 901)->[2, 0, (3-1*r5), (-3-1*r5)]
(688, 945, 2040, 527)->[2, (-1-1*r5), (-1+1*r5), 4]
(2264, 177, 2039, 599)->[-4, 4, 0, 0]
(912, 1658, 1093, 1725)->[-2, (1-1*r5), 4, (1+1*r5)]
(299, 11, 2004, 29)->[(3+1*r5), (-1+1*r5), (-1+1*r5), (1-1*r5)]
(1466, 638, 1998, 470)->[(1-1*r5), (3+1*r5), (-1+1*r5), (1-1*r5)]
(1899, 754, 995, 574)->[(-1-1*r5), (0-2*r5), 0, (-1+1*r5)]
(598, 622, 2028, 206)->[4, (1+1*r5), -2, (-1+1*r5)]
(2009, 731, 348, 1983)->[(-1+1*r5), (1+1*r5), -4, 2]
(1283, 692, 1558, 2159)->[(-1+1*r5), -2, (-1-1*r5), 4]
(795, 396, 549, 1382)->[(0-2*r5), 0, (-1-1*r5), (-1+1*r5)]
(880, 148, 1437, 415)->[-2, (-3-1*r5), 0, (-3+1*r5)]
(241, 530, 2322, 413)->[2, (1-1*r5), 4, (-1-1*r5)]
(568, 1282, 1516, 591)->[(-3-1*r5), (-1+1*r5), (-1+1*r5), (-1+1*r5)]
(256, 377, 866, 2079)->[4, 2, (1-1*r5), (1+1*r5)]
(2398, 490, 1126, 2202)->[(1+1*r5), -4, (-1+1*r5), -2]
(779, 25, 723, 1704)->[-2, (1+1*r5), (-1+1*r5), 4]
(673, 1250, 1115, 366)->[-2, 4, (-1-1*r5), (1-1*r5)]
(1756, 2173, 1086, 1391)->[-2, 4, (1+1*r5), (-1+1*r5)]
(1409, 91, 1157, 2011)->[-2, (3+1*r5), 0, (-3+1*r5)]
(1688, 1436, 2317, 175)->[(1-1*r5), (0+2*r5), (-1-1*r5), 0]
(328, 1612, 2310, 1015)->[(1+1*r5), (-3+1*r5), (-1-1*r5), (1+1*r5)]
(1968, 2389, 2030, 1439)->[(0+2*r5), (-1+1*r5), 0, (-1-1*r5)]
(955, 285, 1987, 1567)->[0, -2, (-3-1*r5), (-3+1*r5)]
(729, 1893, 869, 2271)->[(1-1*r5), (1-1*r5), (1-1*r5), (3+1*r5)]
(1498, 179, 1842, 2380)->[(0-2*r5), (1+1*r5), (-1+1*r5), 0]
(16, 1808, 2318, 2295)->[(-3+1*r5), (1+1*r5), (-1-1*r5), (-1-1*r5)]
(713, 2179, 2236, 183)->[4, (-1-1*r5), 2, (1-1*r5)]
(1609, 1571, 276, 694)->[(-1+1*r5), -2, (1+1*r5), 4]
(1625, 2395, 1556, 287)->[(3+1*r5), (1-1*r5), (-1+1*r5), (1-1*r5)]
(1064, 641, 1525, 871)->[4, (1-1*r5), (-1-1*r5), -2]
(1304, 788, 909, 1709)->[(0-2*r5), (-1-1*r5), (-1+1*r5), 0]
(1881, 2268, 1708, 1191)->[(3+1*r5), (-3+1*r5), 0, -2]
(856, 1919, 1383, 1079)->[(1-1*r5), -4, -2, (1+1*r5)]
(96, 867, 1972, 1317)->[(-1-1*r5), (1+1*r5), (1+1*r5), (3-1*r5)]
(1050, 538, 555, 1813)->[(0+2*r5), (1+1*r5), (1-1*r5), 0]
(1274, 381, 750, 895)->[(-1-1*r5), (1+1*r5), (-1-1*r5), (-3+1*r5)]
(376, 1873, 341, 1965)->[(-1+1*r5), (-1-1*r5), -4, -2]
(1520, 2060, 245, 1414)->[-2, 2, (0+2*r5), -2]
(1553, 914, 2334, 767)->[(1+1*r5), (0-2*r5), 0, (-1+1*r5)]
(1529, 290, 1823, 47)->[(1+1*r5), (1+1*r5), (-3+1*r5), (1+1*r5)]
(203, 716, 1292, 1727)->[(0-2*r5), 0, (-1-1*r5), (1-1*r5)]
(681, 1101, 1561, 2057)->[2, 2, (0-2*r5), 2]
(192, 347, 1416, 1375)->[(1-1*r5), (-1+1*r5), (-3-1*r5), (1-1*r5)]
(1648, 748, 2013, 2044)->[-4, -4, 0, 0]
(240, 1915, 259, 271)->[(-1+1*r5), (-1-1*r5), 0, (0+2*r5)]
(1441, 114, 2195, 1341)->[0, 4, 0, 4]
(1819, 1659, 2063, 39)->[(-1-1*r5), (1+1*r5), (-1-1*r5), (3-1*r5)]
(41, 409, 6, 1175)->[(-1-1*r5), 0, (-1+1*r5), (0-2*r5)]
(640, 2320, 1827, 958)->[(1+1*r5), (-1+1*r5), -2, -4]
(1018, 1787, 1867, 1325)->[0, -2, (3+1*r5), (-3+1*r5)]
(1557, 2283, 524, 1004)->[(1-1*r5), (1+1*r5), 0, (0+2*r5)]
(400, 1548, 1421, 702)->[(-3+1*r5), (3+1*r5), -2, 0]
(1232, 401, 674, 427)->[(1-1*r5), (-1-1*r5), 0, (0-2*r5)]
(1412, 1229, 1054, 295)->[(1+1*r5), -2, 4, (1-1*r5)]
(1257, 1610, 2314, 796)->[-2, (-1+1*r5), -4, (-1-1*r5)]
(473, 684, 406, 831)->[-4, (1+1*r5), -2, (-1+1*r5)]
(1427, 1245, 2270, 751)->[-4, (-1+1*r5), (-1-1*r5), 2]
(816, 711, 1430, 119)->[(3-1*r5), (-3-1*r5), -2, 0]
(1896, 1810, 2067, 1047)->[(3+1*r5), -2, (-3+1*r5), 0]
(89, 74, 226, 2031)->[(-1-1*r5), -2, 4, (1-1*r5)]
(1738, 66, 709, 1950)->[0, (3+1*r5), (-3+1*r5), 2]
(2355, 1153, 1035, 2119)->[-2, -2, (0+2*r5), -2]
(2145, 892, 893, 1278)->[2, (0-2*r5), 2, -2]
(1552, 1562, 1230, 2256)->[2, -2, (0+2*r5), -2]
(457, 34, 812, 1434)->[(-1+1*r5), (3+1*r5), (-1+1*r5), (-1+1*r5)]
(1281, 777, 982, 1639)->[(0+2*r5), -2, -2, -2]
(1945, 1483, 13, 839)->[(-1+1*r5), (3+1*r5), (1-1*r5), (1-1*r5)]
(2048, 851, 860, 2207)->[0, (-3-1*r5), (3-1*r5), 2]
(2383, 2019, 462, 63)->[(3-1*r5), 0, (3+1*r5), 2]
(1248, 1539, 2189, 1934)->[-2, (0-2*r5), -2, -2]
(760, 706, 1352, 710)->[(1+1*r5), (1-1*r5), 2, 4]
(992, 361, 85, 2262)->[2, (0-2*r5), -2, -2]
(208, 291, 421, 1814)->[(1-1*r5), (-1-1*r5), 4, 2]
(2169, 786, 1939, 60)->[2, -2, (0-2*r5), -2]
(2045, 2274, 933, 1879)->[0, (0+2*r5), (-1+1*r5), (-1-1*r5)]
(425, 1435, 1308, 1505)->[(1-1*r5), (-1-1*r5), 4, -2]
(890, 1804, 205, 1255)->[2, (3+1*r5), 0, (3-1*r5)]
(449, 961, 2289, 2375)->[-2, (3+1*r5), 0, (3-1*r5)]
(393, 642, 1100, 87)->[(-1-1*r5), (1+1*r5), (-3+1*r5), (1+1*r5)]
(2217, 715, 52, 2343)->[(3-1*r5), (-1-1*r5), (-1-1*r5), (-1-1*r5)]
(1361, 511, 174, 255)->[(0-2*r5), 0, (1+1*r5), (1-1*r5)]
(18, 123, 1828, 1005)->[0, (1+1*r5), (0+2*r5), (-1+1*r5)]
(1393, 2273, 133, 1631)->[(1-1*r5), (0-2*r5), (1+1*r5), 0]
(346, 1662, 1501, 1014)->[0, (1+1*r5), (0-2*r5), (-1+1*r5)]
(1392, 1731, 1947, 1453)->[(-3+1*r5), (-1-1*r5), (-1-1*r5), (1+1*r5)]
(1027, 1481, 827, 1900)->[(-1-1*r5), (-1+1*r5), 2, 4]
(404, 165, 2014, 1679)->[4, 2, (-1+1*r5), (1+1*r5)]
(224, 1812, 2166, 1992)->[2, (1-1*r5), -4, (-1-1*r5)]
(2215, 882, 1642, 375)->[2, (3+1*r5), 0, (-3+1*r5)]
(1313, 1722, 2069, 1649)->[(1-1*r5), (-3-1*r5), (1-1*r5), (1-1*r5)]
(768, 2023, 2078, 1311)->[(-3+1*r5), (1+1*r5), (1+1*r5), (-1-1*r5)]
(50, 611, 1330, 110)->[(1+1*r5), 0, (-1+1*r5), (0-2*r5)]
(2034, 515, 940, 1163)->[0, (0-2*r5), (1-1*r5), (1+1*r5)]
(1745, 2196, 2340, 1263)->[(-1+1*r5), (3+1*r5), (-1+1*r5), (1-1*r5)]
(1800, 1993, 474, 693)->[(-1+1*r5), (0+2*r5), (-1-1*r5), 0]
(930, 562, 435, 2227)->[0, 2, (-3-1*r5), (-3+1*r5)]
(1241, 1564, 2105, 359)->[(1+1*r5), 0, (-1+1*r5), (0+2*r5)]
(2097, 314, 140, 1790)->[4, -2, (-1+1*r5), (1+1*r5)]
(64, 746, 1475, 1627)->[(1+1*r5), (3-1*r5), (-1-1*r5), (1+1*r5)]
(2301, 521, 2354, 1513)->[(-1+1*r5), (3+1*r5), (1-1*r5), (-1+1*r5)]
(433, 2051, 68, 1199)->[4, (1-1*r5), (-1-1*r5), 2]
(1574, 907, 1077, 414)->[0, (1-1*r5), (1+1*r5), (0-2*r5)]
(2309, 1588, 797, 2095)->[(1-1*r5), 4, 2, (1+1*r5)]
(2168, 1769, 2075, 1062)->[-4, 2, (-1+1*r5), (-1-1*r5)]
(1329, 154, 2329, 1922)->[(1-1*r5), 0, (0+2*r5), (1+1*r5)]
(1001, 20, 855, 799)->[-4, (1-1*r5), (1+1*r5), 2]
(194, 1149, 1238, 1607)->[(-1-1*r5), (-1+1*r5), -2, 4]
(56, 2315, 564, 2351)->[(1-1*r5), -2, (-1-1*r5), 4]
(1016, 170, 1621, 1991)->[(-3-1*r5), 2, (3-1*r5), 0]
(178, 1131, 758, 2359)->[(-1-1*r5), 4, (-1+1*r5), -2]
(2272, 2378, 1300, 1534)->[(-1+1*r5), (-1+1*r5), (3+1*r5), (1-1*r5)]
(1994, 1599, 2062, 1295)->[(3-1*r5), (-1-1*r5), (1+1*r5), (-1-1*r5)]
(2357, 1997, 478, 1951)->[4, (1-1*r5), (1+1*r5), -2]
(952, 2001, 2050, 1772)->[(1-1*r5), (-3-1*r5), (-1+1*r5), (1-1*r5)]
(488, 337, 2233, 1033)->[(1+1*r5), (-1+1*r5), (0+2*r5), 0]
(624, 784, 322, 2194)->[(3+1*r5), 0, -2, (-3+1*r5)]
(2293, 1570, 1907, 1645)->[(1+1*r5), (-1-1*r5), (-3+1*r5), (-1-1*r5)]
(545, 507, 1021, 1597)->[(-1-1*r5), (-3+1*r5), (1+1*r5), (1+1*r5)]
(928, 913, 2266, 1716)->[(-1+1*r5), 4, -2, (-1-1*r5)]
(499, 1742, 1446, 1103)->[(1+1*r5), -2, 4, (-1+1*r5)]
(32, 2081, 1132, 1936)->[2, (1-1*r5), 4, (1+1*r5)]
(2331, 2214, 525, 1550)->[4, (1+1*r5), -2, (1-1*r5)]
(1097, 682, 1188, 2094)->[(-1+1*r5), (1+1*r5), 0, (0-2*r5)]
(1768, 617, 2042, 2123)->[2, 4, (1+1*r5), (-1+1*r5)]
(329, 1299, 1761, 1022)->[0, -4, 4, 0]
(705, 1794, 1721, 2221)->[-2, 0, (-3+1*r5), (-3-1*r5)]
(67, 364, 1517, 1959)->[(-1-1*r5), (3-1*r5), (1+1*r5), (1+1*r5)]
(680, 130, 1608, 634)->[(1-1*r5), (1-1*r5), (3+1*r5), (1-1*r5)]
(2092, 469, 390, 2116)->[(-3+1*r5), 2, 0, (-3-1*r5)]
(1746, 1923, 477, 1150)->[(0+2*r5), (1-1*r5), 0, (1+1*r5)]
(1912, 1524, 1836, 2319)->[(3-1*r5), 0, (-3-1*r5), -2]
(249, 2106, 2115, 181)->[2, -2, (0+2*r5), 2]
(1264, 106, 283, 918)->[0, (-1-1*r5), (0+2*r5), (-1+1*r5)]
(595, 1596, 1990, 1007)->[0, (-1-1*r5), (0-2*r5), (-1+1*r5)]
(951, 204, 101, 701)->[(-3-1*r5), (1-1*r5), (1-1*r5), (-1+1*r5)]
(2102, 2177, 124, 1502)->[(-1-1*r5), (-1-1*r5), (-3+1*r5), (-1-1*r5)]
(744, 2147, 338, 1450)->[2, 4, (-1-1*r5), (1-1*r5)]
(417, 1133, 2350, 695)->[(-1+1*r5), 4, 2, (1+1*r5)]
(1848, 1389, 365, 1023)->[-2, (0+2*r5), -2, -2]
(1816, 516, 814, 639)->[0, (3-1*r5), -2, (3+1*r5)]
(1273, 780, 2390, 1471)->[4, 2, (1-1*r5), (-1-1*r5)]
(1781, 1765, 2158, 191)->[2, -4, (1+1*r5), (1-1*r5)]
(1443, 267, 1189, 1735)->[(-1+1*r5), (1-1*r5), (-3-1*r5), (1-1*r5)]
(1854, 1426, 476, 246)->[(-1-1*r5), 0, (-1+1*r5), (0+2*r5)]
(368, 1122, 138, 942)->[(-1+1*r5), (-1+1*r5), (-3-1*r5), (1-1*r5)]
(1040, 59, 628, 1963)->[0, 2, (3+1*r5), (3-1*r5)]
(1493, 277, 2374, 1151)->[-2, (-3+1*r5), (3+1*r5), 0]
(1176, 2337, 2219, 1343)->[(0+2*r5), 0, (-1-1*r5), (1-1*r5)]
(1851, 948, 1061, 1620)->[(-1-1*r5), (1+1*r5), (3-1*r5), (1+1*r5)]
(984, 497, 980, 1008)->[(0-2*r5), (-1+1*r5), 0, (1+1*r5)]
(2153, 1355, 556, 2068)->[(1+1*r5), (1+1*r5), (-1-1*r5), (-3+1*r5)]
(1320, 1528, 947, 1770)->[(1+1*r5), 4, (1-1*r5), -2]
(1849, 2238, 2237, 2206)->[(1+1*r5), (0+2*r5), 0, (1-1*r5)]
(1969, 1898, 2171, 774)->[(1-1*r5), -2, (1+1*r5), -4]
(1793, 1110, 70, 2321)->[-4, (-1+1*r5), (-1-1*r5), -2]
(2000, 2002, 1484, 356)->[(-1-1*r5), (0-2*r5), 0, (1-1*r5)]
(2336, 2388, 461, 1462)->[-2, 0, (3-1*r5), (3+1*r5)]
(1488, 1929, 108, 1798)->[0, 4, -4, 0]
(1089, 762, 1134, 79)->[2, (1+1*r5), (1-1*r5), 4]
(2120, 1196, 1373, 614)->[(-1+1*r5), (0-2*r5), (-1-1*r5), 0]
(1601, 97, 2157, 102)->[(1+1*r5), (1-1*r5), 2, -4]
(280, 1515, 69, 1783)->[(1-1*r5), -4, -2, (-1-1*r5)]
(841, 2284, 1045, 391)->[(1-1*r5), (1+1*r5), 0, (0-2*r5)]
(666, 1034, 2061, 190)->[-2, -2, -2, (0+2*r5)]
(1160, 1930, 627, 1500)->[2, (0+2*r5), 2, -2]
(576, 185, 118, 1841)->[(1+1*r5), -4, (-1+1*r5), 2]
(1328, 441, 1718, 553)->[0, (-1+1*r5), (1+1*r5), (0-2*r5)]
(57, 588, 2181, 2279)->[(-1+1*r5), (-1-1*r5), 4, -2]
(1440, 122, 2235, 1338)->[(1+1*r5), (1+1*r5), (-1-1*r5), (3-1*r5)]
(968, 657, 1840, 1261)->[(1-1*r5), (1-1*r5), (-3-1*r5), (-1+1*r5)]
(1803, 51, 1668, 766)->[-4, 0, 4, 0]
(1380, 2222, 2134, 1031)->[0, -4, 0, -4]
(2218, 339, 1036, 999)->[4, -4, 0, 0]
(1540, 1399, 1844, 15)->[(-3-1*r5), (-1+1*r5), (-1+1*r5), (1-1*r5)]
(861, 3, 252, 717)->[2, (-3+1*r5), (-3-1*r5), 0]
(800, 1240, 1566, 135)->[(-1+1*r5), 4, 2, (-1-1*r5)]
(736, 626, 1357, 2254)->[(0-2*r5), 2, 2, 2]
(536, 850, 163, 1926)->[2, (1+1*r5), (1-1*r5), -4]
(1904, 236, 1084, 551)->[(3-1*r5), (-1-1*r5), (-1-1*r5), (1+1*r5)]
(1729, 1549, 1109, 862)->[(0+2*r5), (1-1*r5), 0, (-1-1*r5)]
(2152, 116, 1205, 1750)->[-2, 2, -2, (0+2*r5)]
(1017, 1457, 828, 1102)->[(0-2*r5), 2, -2, -2]
(722, 323, 2244, 1239)->[-2, (1-1*r5), 4, (-1-1*r5)]
(1309, 268, 965, 2397)->[(1+1*r5), 0, (1-1*r5), (0+2*r5)]
(1622, 794, 235, 1390)->[0, (-3+1*r5), -2, (3+1*r5)]
(619, 752, 331, 1680)->[-2, (-1-1*r5), (-1+1*r5), -4]
(312, 2088, 2381, 1565)->[(1-1*r5), -4, 2, (-1-1*r5)]
(1880, 353, 2278, 2111)->[-2, 4, (-1-1*r5), (-1+1*r5)]
(1618, 964, 557, 645)->[(-1-1*r5), (-1+1*r5), -2, -4]
(2220, 2311, 1222, 703)->[-2, 0, (3-1*r5), (-3-1*r5)]
(698, 1227, 1012, 2231)->[(3-1*r5), (1+1*r5), (-1-1*r5), (-1-1*r5)]
(176, 147, 398, 71)->[(-1+1*r5), (1-1*r5), (-1+1*r5), (3+1*r5)]
(48, 105, 1538, 672)->[(3+1*r5), 0, 2, (-3+1*r5)]
(440, 1032, 1152, 158)->[(-1-1*r5), (-3+1*r5), (1+1*r5), (-1-1*r5)]
(416, 2290, 1660, 664)->[-4, 0, 0, -4]
(2360, 547, 275, 1774)->[2, 4, (1+1*r5), (1-1*r5)]
(1072, 1961, 1186, 2339)->[(1-1*r5), 4, -2, (1+1*r5)]
(832, 1002, 134, 502)->[(-1-1*r5), (-1-1*r5), (-1-1*r5), (-3+1*r5)]
(2241, 1724, 279, 215)->[-4, 0, -4, 0]
(144, 857, 586, 1606)->[0, (1-1*r5), (1+1*r5), (0+2*r5)]
(1686, 1107, 700, 486)->[(-1-1*r5), (0+2*r5), 0, (-1+1*r5)]
(1041, 202, 1981, 1958)->[(-1-1*r5), (-1+1*r5), (0-2*r5), 0]
(2056, 1058, 1852, 925)->[2, (1+1*r5), (-1+1*r5), 4]
(458, 370, 1374, 1585)->[(-1-1*r5), (1-1*r5), 2, -4]
(1782, 2246, 221, 950)->[(1-1*r5), (-1+1*r5), (1-1*r5), (3+1*r5)]
(1114, 1211, 213, 2118)->[-4, (1+1*r5), 2, (-1+1*r5)]
(184, 601, 30, 103)->[(-1+1*r5), -4, 2, (1+1*r5)]
(1536, 1154, 1624, 1920)->[(3-1*r5), (-1-1*r5), (1+1*r5), (1+1*r5)]
(456, 994, 653, 1030)->[(-3+1*r5), 0, (3+1*r5), -2]
(1140, 113, 1371, 924)->[(3+1*r5), (1-1*r5), (1-1*r5), (-1+1*r5)]
(1777, 1451, 1148, 1653)->[(1-1*r5), (-1-1*r5), -4, -2]
(787, 932, 2253, 654)->[-2, (1+1*r5), (1-1*r5), -4]
(896, 2098, 667, 2204)->[2, -4, (-1-1*r5), (1-1*r5)]
(1510, 1942, 405, 542)->[0, (-1-1*r5), (0-2*r5), (1-1*r5)]
(1113, 450, 2070, 2151)->[0, (0-2*r5), (-1+1*r5), (1+1*r5)]
