[197, 354]
[197, 983]
[198, 743]
[198, 774]
[199, 249]
[199, 816]
[200, 660]
[200, 957]
[201, 751]
[201, 1067]
[202, 205]
[202, 626]
[203, 523]
[203, 653]
[204, 483]
[205, 795]
[206, 814]
[206, 940]
[207, 404]
[207, 776]
[208, 243]
[208, 664]
[209, 335]
[209, 478]
[210, 401]
[210, 1084]
[211, 251]
[211, 820]
[212, 690]
[212, 797]
[213, 912]
[213, 1055]
[214, 484]
[215, 414]
[215, 848]
[216, 751]
[216, 1067]
[217, 442]
[217, 715]
[218, 703]
[219, 264]
[219, 786]
[220, 372]
[220, 510]
[221, 233]
[221, 754]
[222, 772]
[223, 1033]
[224, 857]
[224, 958]
[225, 682]
[225, 766]
[226, 240]
[226, 471]
[227, 619]
[0, 119]
[0, 449]
[1, 171]
[1, 674]
[2, 332]
[2, 805]
[3, 521]
[3, 1094]
[4, 232]
[4, 990]
[5, 282]
[5, 729]
[6, 717]
[6, 854]
[7, 64]
[7, 428]
[8, 87]
[8, 148]
[9, 301]
[9, 336]
[10, 109]
[10, 115]
[11, 149]
[11, 948]
[12, 235]
[12, 950]
[13, 585]
[13, 647]
[14, 48]
[14, 1091]
[15, 377]
[15, 928]
[16, 103]
[16, 810]
[17, 261]
[17, 421]
[18, 158]
[18, 534]
[19, 383]
[19, 593]
[20, 127]
[20, 360]
[21, 171]
[21, 674]
[22, 399]
[22, 773]
[23, 297]
[23, 380]
[24, 445]
[24, 1019]
[25, 89]
[25, 302]
[26, 388]
[26, 1022]
[27, 650]
[27, 1036]
[28, 260]
[28, 1133]
[29, 251]
[29, 820]
[30, 577]
[30, 840]
[31, 263]
[31, 747]
[32, 476]
[32, 617]
[33, 843]
[33, 1127]
[34, 378]
[34, 1078]
[35, 222]
[35, 300]
[36, 405]
[36, 559]
[37, 663]
[37, 921]
[38, 658]
[38, 791]
[39, 165]
[39, 265]
[40, 57]
[40, 1108]
[41, 349]
[41, 570]
[42, 675]
[42, 869]
[43, 467]
[43, 886]
[44, 448]
[44, 596]
[45, 762]
[45, 908]
[46, 417]
[46, 1121]
[47, 328]
[47, 954]
[48, 702]
[49, 529]
[49, 866]
[50, 476]
[50, 617]
[51, 695]
[51, 986]
[52, 569]
[52, 745]
[53, 463]
[53, 851]
[54, 113]
[54, 415]
[55, 287]
[55, 812]
[56, 98]
[56, 420]
[114, 145]
[114, 512]
[115, 991]
[116, 651]
[116, 718]
[117, 169]
[117, 410]
[118, 830]
[119, 552]
[120, 717]
[120, 854]
[121, 873]
[121, 936]
[122, 301]
[122, 336]
[123, 535]
[123, 905]
[124, 564]
[124, 700]
[125, 309]
[125, 588]
[126, 982]
[126, 1128]
[127, 160]
[128, 423]
[128, 1142]
[129, 682]
[129, 766]
[130, 1135]
[131, 252]
[131, 838]
[132, 516]
[132, 692]
[133, 375]
[133, 1149]
[134, 454]
[134, 652]
[135, 438]
[135, 646]
[136, 341]
[136, 551]
[137, 1058]
[138, 314]
[138, 579]
[139, 863]
[139, 1122]
[140, 194]
[140, 483]
[141, 367]
[141, 941]
[142, 678]
[142, 974]
[143, 316]
[143, 742]
[144, 477]
[144, 487]
[145, 1109]
[146, 651]
[146, 718]
[147, 259]
[147, 293]
[148, 693]
[149, 310]
[150, 443]
[150, 855]
[151, 505]
[151, 868]
[152, 387]
[152, 654]
[153, 175]
[153, 620]
[154, 689]
[154, 1107]
[155, 701]
[155, 1023]
[156, 1097]
[156, 1120]
[157, 365]
[157, 615]
[158, 643]
[159, 931]
[159, 1092]
[160, 360]
[161, 563]
[161, 1003]
[162, 944]
[163, 545]
[163, 1086]
[164, 363]
[164, 963]
[165, 1059]
[166, 720]
[166, 1028]
[167, 223]
[167, 526]
[168, 317]
[168, 746]
[169, 739]
[170, 594]
[170, 875]
[228, 396]
[228, 628]
[229, 506]
[229, 881]
[230, 252]
[230, 838]
[231, 1027]
[231, 1147]
[232, 601]
[233, 440]
[234, 297]
[234, 380]
[235, 911]
[236, 486]
[236, 819]
[237, 544]
[238, 581]
[238, 1111]
[239, 826]
[241, 402]
[241, 489]
[242, 400]
[242, 644]
[243, 698]
[244, 703]
[245, 656]
[245, 834]
[246, 441]
[246, 738]
[247, 350]
[248, 658]
[248, 791]
[249, 530]
[250, 390]
[250, 1062]
[253, 714]
[253, 733]
[254, 286]
[254, 457]
[255, 323]
[255, 509]
[256, 650]
[256, 1036]
[257, 614]
[257, 939]
[258, 616]
[258, 1020]
[259, 436]
[260, 809]
[261, 622]
[262, 996]
[263, 1074]
[264, 753]
[265, 1059]
[266, 563]
[266, 1003]
[267, 724]
[267, 860]
[268, 304]
[268, 461]
[269, 356]
[269, 418]
[270, 884]
[270, 967]
[271, 796]
