(387, 390, 519, 520, 394, 12, 19, 152, 25, 411, 28, 413, 543, 290, 163, 169, 42, 428, 303, 305, 180, 565, 314, 443, 444, 318, 451, 196, 198, 201, 335, 209, 210, 86, 215, 349, 224, 360, 233, 107, 365, 239, 495, 241, 496, 502, 377, 382)->[2*r2, 0, 2, 2]
(258, 515, 5, 137, 396, 14, 527, 400, 403, 404, 21, 405, 289, 292, 421, 425, 173, 560, 177, 436, 566, 312, 440, 447, 70, 202, 76, 77, 333, 80, 339, 212, 472, 473, 348, 478, 101, 231, 504, 235, 108, 494, 370, 499, 374, 119, 120, 125)->[-2*r2, 0, 2, 2]
(130, 259, 7, 393, 521, 18, 146, 279, 24, 539, 31, 160, 544, 40, 424, 552, 172, 300, 431, 50, 438, 439, 570, 188, 317, 319, 320, 448, 66, 195, 450, 71, 461, 462, 466, 341, 218, 347, 227, 485, 361, 364, 493, 369, 121, 506, 251, 380)->[0, -2*r2, -2, 2]
(128, 386, 388, 264, 139, 395, 525, 142, 531, 20, 277, 153, 26, 541, 542, 37, 38, 293, 549, 551, 556, 304, 309, 313, 441, 59, 569, 571, 63, 69, 454, 79, 216, 91, 96, 225, 358, 359, 105, 111, 498, 243, 372, 373, 249, 378, 123, 126)->[2*r2, 0, -2, -2]
(384, 132, 389, 134, 262, 8, 263, 391, 394, 522, 526, 151, 28, 291, 419, 420, 167, 425, 299, 427, 558, 560, 305, 435, 56, 440, 568, 446, 456, 76, 464, 211, 469, 472, 220, 228, 102, 230, 234, 365, 238, 495, 113, 241, 501, 120, 124, 253)->[0, 0, 4, 0]
(384, 385, 512, 516, 261, 8, 523, 140, 398, 401, 274, 147, 276, 530, 23, 412, 286, 159, 418, 36, 422, 39, 48, 561, 178, 306, 308, 181, 55, 56, 187, 192, 323, 75, 331, 205, 82, 338, 88, 228, 103, 488, 237, 238, 508, 503, 124, 381)->[0, -2*r2, 2, -2]
(514, 260, 392, 137, 17, 273, 154, 155, 35, 421, 295, 296, 41, 297, 423, 554, 45, 46, 429, 432, 49, 312, 572, 574, 200, 73, 328, 203, 204, 207, 89, 345, 477, 95, 351, 354, 101, 229, 487, 104, 363, 112, 370, 375, 504, 507, 252, 255)->[-2*r2, 2*r2, 0, 0]
(387, 388, 6, 263, 264, 9, 518, 142, 399, 401, 402, 529, 277, 533, 410, 412, 540, 30, 415, 545, 290, 419, 549, 550, 299, 180, 308, 192, 451, 75, 79, 208, 81, 209, 336, 469, 470, 221, 99, 100, 102, 234, 107, 362, 237, 116, 376, 254)->[2*r2, 0, 2, -2]
(129, 257, 517, 395, 141, 271, 528, 279, 281, 538, 285, 414, 541, 161, 548, 166, 294, 424, 551, 553, 172, 176, 562, 51, 179, 185, 58, 315, 569, 571, 190, 575, 449, 459, 78, 334, 83, 214, 94, 353, 226, 227, 356, 485, 367, 369, 373, 122)->[0, 0, -4, 0]
(128, 1, 382, 3, 9, 138, 270, 529, 20, 22, 150, 152, 25, 280, 408, 156, 29, 534, 542, 416, 174, 309, 182, 310, 186, 443, 62, 63, 64, 321, 326, 458, 208, 465, 215, 92, 476, 222, 225, 232, 491, 236, 116, 117, 502, 376, 250, 254)->[2*r2, 2*r2, 0, 0]
(1, 131, 515, 134, 520, 138, 269, 403, 405, 151, 154, 543, 32, 167, 169, 554, 429, 566, 568, 442, 196, 453, 456, 458, 207, 465, 339, 468, 85, 86, 213, 342, 90, 92, 220, 222, 351, 98, 229, 486, 233, 106, 235, 109, 114, 371, 500, 118)->[0, 2*r2, 2, 2]
(256, 129, 5, 393, 266, 15, 538, 155, 284, 157, 285, 414, 288, 162, 297, 298, 171, 173, 301, 557, 50, 437, 438, 311, 567, 185, 572, 190, 574, 68, 70, 457, 463, 212, 87, 345, 247, 357, 104, 361, 366, 494, 242, 246, 119, 121, 506, 127)->[-2*r2, 0, -2, 2]
(386, 144, 535, 281, 541, 434, 179, 54, 313, 569, 315, 189, 454, 334, 343, 346, 93, 480, 356, 110, 367, 372, 123, 126)->[0, 0, -2*r2, -2*r2]
(4, 389, 396, 524, 17, 291, 423, 429, 435, 566, 440, 568, 446, 453, 456, 77, 472, 98, 101, 229, 487, 235, 112, 504)->[-2, 2, 2*r2, 0]
(129, 521, 10, 13, 15, 271, 279, 414, 162, 557, 307, 450, 195, 218, 353, 226, 484, 505, 369, 506, 121, 122, 127, 383)->[-2, -2, -2*r2, 0]
(257, 3, 517, 139, 395, 397, 528, 20, 408, 29, 553, 556, 51, 309, 310, 321, 74, 332, 206, 214, 105, 491, 373, 378)->[2, 2, -2*r2, 0]
(130, 5, 7, 393, 266, 298, 173, 175, 431, 436, 311, 445, 457, 347, 348, 478, 231, 361, 108, 499, 248, 251, 380, 509)->[-2, -2, 0, 2*r2]
(384, 391, 19, 412, 28, 286, 415, 419, 42, 299, 427, 303, 305, 306, 563, 314, 187, 451, 75, 209, 470, 97, 238, 381)->[2, -2, 2*r2, 0]
(265, 511, 268, 143, 275, 149, 287, 546, 296, 170, 426, 45, 46, 57, 60, 324, 328, 73, 204, 467, 84, 217, 354, 255)->[-2, 2, 0, -2*r2]
(138, 145, 22, 280, 537, 416, 41, 554, 174, 49, 182, 442, 326, 327, 200, 207, 465, 85, 474, 477, 95, 114, 371, 375)->[0, 4, 0, 0]
(258, 262, 522, 140, 400, 274, 404, 23, 159, 420, 425, 178, 56, 194, 67, 202, 80, 344, 473, 352, 508, 501, 120, 124)->[-2, -2, 2*r2, 0]
(385, 133, 263, 8, 401, 402, 276, 533, 30, 545, 302, 558, 561, 573, 325, 464, 469, 223, 228, 230, 237, 240, 503, 253)->[0, 0, 2*r2, -2*r2]
(512, 261, 264, 525, 399, 549, 47, 48, 308, 59, 192, 205, 216, 99, 100, 103, 359, 488, 362, 498, 243, 244, 379, 510)->[2, -2, 0, -2*r2]
(16, 24, 539, 36, 165, 422, 552, 181, 55, 184, 61, 320, 66, 323, 460, 82, 338, 341, 88, 364, 492, 493, 497, 245)->[0, -4, 0, 0]
(128, 6, 518, 9, 142, 531, 277, 150, 534, 283, 156, 542, 417, 37, 555, 433, 329, 81, 471, 91, 221, 96, 116, 117)->[2, 2, 0, -2*r2]
(514, 137, 14, 409, 157, 289, 547, 292, 295, 297, 171, 564, 455, 212, 89, 350, 481, 357, 104, 363, 242, 370, 374, 119)->[-4, 0, 0, 0]
(388, 12, 270, 272, 529, 152, 153, 410, 540, 413, 290, 163, 38, 180, 441, 316, 318, 63, 79, 225, 232, 111, 376, 382)->[4, 0, 0, 0]
(1, 387, 526, 151, 543, 550, 186, 443, 196, 208, 336, 211, 468, 215, 220, 92, 476, 102, 234, 107, 495, 241, 118, 254)->[2, 2, 2*r2, 0]
(260, 392, 141, 538, 27, 161, 35, 166, 294, 432, 562, 437, 567, 185, 574, 68, 83, 345, 219, 355, 368, 246, 507, 252)->[-2, 2, -2*r2, 0]
(259, 390, 11, 158, 31, 160, 34, 43, 300, 428, 565, 439, 188, 317, 444, 448, 65, 322, 452, 198, 201, 330, 210, 496)->[2, -2, 0, 2*r2]
(136, 267, 536, 25, 411, 32, 33, 169, 44, 62, 64, 458, 335, 86, 349, 222, 224, 486, 106, 490, 236, 500, 502, 250)->[2, 2, 0, 2*r2]
(131, 132, 515, 134, 519, 520, 394, 527, 148, 405, 167, 560, 177, 447, 76, 333, 479, 360, 233, 109, 365, 239, 113, 377)->[0, 0, 2*r2, 2*r2]
(135, 18, 146, 278, 26, 548, 293, 551, 40, 172, 176, 304, 570, 571, 575, 69, 78, 462, 466, 475, 485, 358, 115, 249)->[2, -2, -2*r2, 0]
(513, 2, 516, 523, 398, 530, 147, 406, 407, 282, 418, 164, 39, 168, 430, 52, 53, 191, 197, 199, 331, 337, 340, 482)->[-2, -2, 0, -2*r2]
(256, 269, 273, 403, 21, 154, 155, 288, 421, 559, 312, 572, 70, 203, 463, 339, 213, 342, 90, 351, 483, 494, 247, 125)->[-2, 2, 0, 2*r2]
