(3, 4, 35, 84, 88, 25)->[(-14+10*r2), (14-10*r2), (40-28*r2), (20-14*r2)]
(96, 69, 133, 18, 21, 61)->[(-28+20*r2), (-28+20*r2), (-20+14*r2), (-20+14*r2)]
(1, 98, 100, 101, 115, 52)->[(14-10*r2), (-14+10*r2), (40-28*r2), (-20+14*r2)]
(32, 142, 48, 117, 85, 92)->[0, (28-20*r2), 0, (40-28*r2)]
(32, 128, 49, 82, 51, 117)->[(14-10*r2), (42-30*r2), 0, (20-14*r2)]
(98, 101, 79, 119, 62, 63)->[(28-20*r2), 0, (40-28*r2), 0]
(78, 53, 21, 23, 61, 30)->[(-14+10*r2), (-42+30*r2), (-20+14*r2), 0]
(96, 69, 5, 106, 12, 83)->[(-14+10*r2), (-14+10*r2), (-20+14*r2), (-40+28*r2)]
(33, 3, 135, 55, 88, 62)->[0, (28-20*r2), (40-28*r2), 0]
(5, 133, 71, 44, 83, 21)->[(-14+10*r2), (-14+10*r2), (-40+28*r2), (-20+14*r2)]
(72, 73, 42, 108, 26, 94)->[(42-30*r2), (-14+10*r2), 0, (20-14*r2)]
(130, 37, 134, 139, 17, 57)->[(-42+30*r2), (-14+10*r2), (20-14*r2), 0]
(143, 112, 113, 51, 27, 28)->[(14-10*r2), (42-30*r2), 0, (-20+14*r2)]
(99, 36, 70, 109, 118, 56)->[0, (28-20*r2), (-40+28*r2), 0]
(130, 67, 40, 104, 10, 74)->[(-42+30*r2), (14-10*r2), 0, (-20+14*r2)]
(131, 3, 135, 49, 28, 93)->[(-14+10*r2), (42-30*r2), (20-14*r2), 0]
(38, 137, 45, 47, 15, 95)->[(28-20*r2), 0, 0, (-40+28*r2)]
(38, 12, 47, 114, 83, 125)->[(14-10*r2), (-14+10*r2), (-20+14*r2), (-40+28*r2)]
(9, 137, 15, 143, 116, 90)->[(42-30*r2), (14-10*r2), 0, (-20+14*r2)]
(129, 34, 105, 45, 112, 27)->[0, (28-20*r2), 0, (-40+28*r2)]
(129, 34, 131, 104, 113, 28)->[(-14+10*r2), (42-30*r2), 0, (-20+14*r2)]
(33, 39, 49, 51, 55, 28)->[(14-10*r2), (42-30*r2), (20-14*r2), 0]
(1, 135, 141, 16, 19, 88)->[(-14+10*r2), (14-10*r2), (40-28*r2), (-20+14*r2)]
(97, 37, 75, 20, 57, 127)->[(-28+20*r2), (-28+20*r2), (20-14*r2), (20-14*r2)]
(4, 92, 48, 25, 60, 126)->[(-14+10*r2), (14-10*r2), (20-14*r2), (40-28*r2)]
(4, 37, 75, 84, 24, 123)->[(-14+10*r2), (-14+10*r2), (40-28*r2), (20-14*r2)]
(101, 7, 72, 9, 119, 26)->[(42-30*r2), (-14+10*r2), (20-14*r2), 0]
(65, 42, 86, 87, 120, 89)->[(14-10*r2), (-14+10*r2), (-20+14*r2), (40-28*r2)]
(66, 98, 77, 84, 119, 123)->[(14-10*r2), (-14+10*r2), (40-28*r2), (20-14*r2)]
(4, 50, 20, 123, 60, 127)->[(-14+10*r2), (-14+10*r2), (20-14*r2), (40-28*r2)]
(1, 33, 100, 19, 62, 63)->[(14-10*r2), (14-10*r2), (40-28*r2), (-20+14*r2)]
(35, 37, 16, 17, 24, 88)->[(-28+20*r2), 0, (40-28*r2), 0]
(34, 67, 5, 136, 105, 12)->[(-14+10*r2), (14-10*r2), (-20+14*r2), (-40+28*r2)]
(129, 135, 104, 10, 16, 93)->[(-28+20*r2), (28-20*r2), (20-14*r2), (-20+14*r2)]
(6, 73, 77, 86, 123, 60)->[(14-10*r2), (-14+10*r2), (20-14*r2), (40-28*r2)]
(64, 36, 136, 44, 109, 114)->[(14-10*r2), (14-10*r2), (-40+28*r2), (-20+14*r2)]
(100, 8, 43, 47, 115, 95)->[(14-10*r2), (-14+10*r2), (20-14*r2), (-40+28*r2)]
(121, 68, 42, 89, 59, 94)->[(28-20*r2), (-28+20*r2), (-20+14*r2), (20-14*r2)]
(66, 6, 7, 73, 119, 94)->[(28-20*r2), (-28+20*r2), (20-14*r2), (20-14*r2)]
(2, 133, 134, 74, 81, 61)->[(-42+30*r2), (-14+10*r2), (-20+14*r2), 0]
(96, 13, 18, 23, 91, 30)->[(-14+10*r2), (-42+30*r2), 0, (-20+14*r2)]
(99, 132, 5, 70, 136, 44)->[(-14+10*r2), (14-10*r2), (-40+28*r2), (-20+14*r2)]
(6, 111, 53, 89, 94, 31)->[(14-10*r2), (-42+30*r2), 0, (20-14*r2)]
(76, 48, 50, 29, 126, 127)->[(-28+20*r2), 0, 0, (40-28*r2)]
(33, 39, 15, 143, 27, 63)->[(28-20*r2), (28-20*r2), (20-14*r2), (-20+14*r2)]
(8, 106, 11, 13, 141, 115)->[(-14+10*r2), (-14+10*r2), (20-14*r2), (-40+28*r2)]
(66, 7, 111, 52, 91, 31)->[(14-10*r2), (-42+30*r2), (20-14*r2), 0]
(32, 39, 79, 82, 22, 55)->[(28-20*r2), (28-20*r2), (20-14*r2), (20-14*r2)]
(66, 98, 75, 52, 24, 58)->[0, (-28+20*r2), (40-28*r2), 0]
(2, 71, 78, 87, 122, 124)->[(-14+10*r2), (-14+10*r2), (-40+28*r2), (20-14*r2)]
(107, 46, 80, 82, 117, 56)->[(28-20*r2), (28-20*r2), (-20+14*r2), (20-14*r2)]
(68, 71, 78, 110, 21, 54)->[0, (-28+20*r2), (-40+28*r2), 0]
(128, 131, 41, 142, 49, 92)->[(-14+10*r2), (42-30*r2), 0, (20-14*r2)]
(39, 9, 79, 116, 26, 63)->[(42-30*r2), (14-10*r2), (20-14*r2), 0]
(65, 138, 107, 117, 85, 120)->[(14-10*r2), (14-10*r2), (-20+14*r2), (40-28*r2)]
(65, 138, 142, 48, 122, 29)->[(-14+10*r2), (14-10*r2), (-20+14*r2), (40-28*r2)]
(6, 103, 50, 20, 86, 89)->[0, (-28+20*r2), 0, (40-28*r2)]
(32, 77, 85, 22, 25, 60)->[(14-10*r2), (14-10*r2), (20-14*r2), (40-28*r2)]
(130, 69, 134, 74, 11, 18)->[(-42+30*r2), (-14+10*r2), 0, (-20+14*r2)]
(97, 103, 111, 20, 53, 23)->[(-14+10*r2), (-42+30*r2), 0, (20-14*r2)]
(96, 83, 21, 54, 125, 30)->[0, (-28+20*r2), (-20+14*r2), (-20+14*r2)]
(66, 6, 75, 111, 20, 123)->[0, (-28+20*r2), (20-14*r2), (20-14*r2)]
(70, 71, 44, 109, 110, 124)->[0, 0, (-40+28*r2), 0]
(43, 13, 115, 52, 58, 91)->[0, (-28+20*r2), (20-14*r2), (-20+14*r2)]
(128, 138, 142, 117, 118, 56)->[0, (28-20*r2), (-20+14*r2), (20-14*r2)]
(131, 40, 41, 104, 140, 93)->[(-28+20*r2), (28-20*r2), 0, 0]
(7, 72, 14, 59, 94, 31)->[(28-20*r2), (-28+20*r2), 0, 0]
(42, 107, 108, 80, 120, 121)->[(28-20*r2), 0, (-20+14*r2), (20-14*r2)]
(39, 46, 143, 82, 51, 116)->[(28-20*r2), (28-20*r2), 0, 0]
(130, 10, 11, 141, 16, 17)->[(-28+20*r2), 0, (20-14*r2), (-20+14*r2)]
(8, 105, 106, 12, 45, 47)->[0, 0, 0, (-40+28*r2)]
(34, 99, 36, 136, 112, 113)->[0, (28-20*r2), (-20+14*r2), (-20+14*r2)]
(100, 101, 9, 15, 95, 63)->[(28-20*r2), 0, (20-14*r2), (-20+14*r2)]
(97, 134, 18, 23, 57, 61)->[(-28+20*r2), (-28+20*r2), 0, 0]
(32, 3, 49, 55, 25, 92)->[0, (28-20*r2), (20-14*r2), (20-14*r2)]
(67, 132, 69, 5, 133, 74)->[(-28+20*r2), 0, (-20+14*r2), (-20+14*r2)]
(1, 98, 84, 24, 88, 62)->[0, 0, (40-28*r2), 0]
(33, 129, 135, 19, 27, 28)->[0, (28-20*r2), (20-14*r2), (-20+14*r2)]
(73, 77, 79, 22, 119, 26)->[(28-20*r2), 0, (20-14*r2), (20-14*r2)]
(35, 4, 37, 139, 126, 127)->[(-28+20*r2), 0, (20-14*r2), (20-14*r2)]
(68, 103, 78, 53, 87, 89)->[0, (-28+20*r2), (-20+14*r2), (20-14*r2)]
(65, 48, 50, 85, 86, 60)->[0, 0, 0, (40-28*r2)]
(64, 102, 38, 137, 114, 90)->[(28-20*r2), 0, (-20+14*r2), (-20+14*r2)]
(14, 54, 59, 125, 30, 31)->[(-20+14*r2), (40-28*r2), (14-10*r2), (14-10*r2)]
(97, 75, 111, 20, 23, 57)->[(20-14*r2), (40-28*r2), (-14+10*r2), (-14+10*r2)]
(34, 99, 67, 132, 5, 136)->[(20-14*r2), (-20+14*r2), (28-20*r2), (28-20*r2)]
(11, 13, 141, 17, 115, 58)->[(20-14*r2), (20-14*r2), (-28+20*r2), (28-20*r2)]
(3, 4, 35, 25, 92, 126)->[(20-14*r2), (-20+14*r2), (-28+20*r2), (-28+20*r2)]
(65, 138, 142, 48, 117, 85)->[0, (-20+14*r2), (14-10*r2), (-42+30*r2)]
(3, 131, 41, 49, 92, 93)->[(20-14*r2), (-40+28*r2), (-14+10*r2), (-14+10*r2)]
