(3329, 130, 6923, 4460, 1997, 173, 4050, 2708, 3829, 56)->[(-3-1*r5), (-3-1*r5), (-1+1*r5), (1-1*r5)]
(6818, 35, 1124, 5852, 6219, 2032, 2772, 1431, 762, 1084)->[4, (1+1*r5), 2, (-3-1*r5)]
(4227, 2277, 3174, 1446, 6345, 1585, 5855, 5906, 7071, 543)->[(1+1*r5), (-2-2*r5), (-1+1*r5), -2]
(5570, 3237, 2890, 4267, 1936, 5233, 5656, 3513, 3163, 638)->[(-1+1*r5), -2, (-1-1*r5), (2+2*r5)]
(5412, 5605, 6821, 72, 6761, 2539, 7083, 3474, 5910, 348)->[(3+1*r5), (1+1*r5), 0, (0+2*r5)]
(4418, 4738, 2664, 3272, 6729, 3115, 1387, 3787, 5931, 1424)->[(3+1*r5), (3+1*r5), (1-1*r5), (-1+1*r5)]
(3, 6076, 7032, 6230, 7095, 1245, 5465, 5468, 5113, 1822)->[(0+2*r5), 0, (1+1*r5), (3+1*r5)]
(1184, 2467, 1605, 5509, 3624, 5768, 5354, 364, 1722, 27)->[(1+1*r5), (3+1*r5), 2, -4]
(2881, 3073, 1131, 3696, 6033, 4146, 7122, 4566, 1820, 6079)->[(3+1*r5), -4, 2, (-1-1*r5)]
(4129, 3429, 4584, 6733, 3950, 1102, 4947, 2804, 4246, 6937)->[(1+1*r5), (-3-1*r5), -2, 4]
(6977, 3107, 4580, 3534, 14, 5519, 6898, 5271, 1880, 1182)->[(3+1*r5), (1+1*r5), 4, -2]
(6016, 6019, 7110, 3117, 1204, 3223, 539, 2778, 2587, 1053)->[4, (-1-1*r5), -2, (3+1*r5)]
(6144, 1671, 5196, 4878, 6415, 4756, 6261, 3707, 2013, 62)->[(2+2*r5), 2, (1-1*r5), (-1-1*r5)]
(764, 2532, 2316, 6776, 5391, 6836, 5784, 7130, 668, 1246)->[-2, (-1+1*r5), (2+2*r5), (-1-1*r5)]
(5027, 230, 4393, 5833, 5036, 2093, 1903, 5401, 2554, 1757)->[(1-1*r5), (-3-1*r5), (1-1*r5), (3+1*r5)]
(5345, 3247, 1647, 4079, 1651, 5076, 4949, 1207, 3452, 862)->[(1-1*r5), (-1-1*r5), (2+2*r5), 2]
(5571, 582, 5291, 7118, 5807, 6324, 3125, 3863, 1277, 5342)->[2, (2+2*r5), (-1-1*r5), (1-1*r5)]
(5984, 1415, 3976, 6375, 3020, 527, 5040, 5655, 4730, 7134)->[0, -2, (-1+1*r5), (5+1*r5)]
(1633, 360, 1545, 5229, 5357, 5582, 1296, 3417, 4442, 5081)->[(1+1*r5), (1-1*r5), -2, (2+2*r5)]
(512, 930, 6951, 2409, 3531, 6967, 7000, 4667, 3709, 574)->[-4, (2+2*r5), 0, 0]
(3104, 772, 7033, 2343, 5835, 6222, 3666, 2133, 2297, 4990)->[(-1+1*r5), (-1-1*r5), (2+2*r5), -2]
(1254, 7176, 1642, 3435, 3148, 2634, 6878, 3571, 4761, 5822)->[(-2-2*r5), (-1+1*r5), (1+1*r5), -2]
(1384, 1289, 5098, 2731, 12, 7050, 6734, 2415, 3730, 4571)->[-4, 2, (3+1*r5), (1+1*r5)]
(3424, 4646, 1354, 3151, 7186, 6396, 1749, 6392, 124, 2015)->[(-3-1*r5), (-1+1*r5), (3+1*r5), (1-1*r5)]
(1057, 3270, 1129, 3121, 5713, 4595, 6104, 6334, 1213, 2910)->[(2+2*r5), (1-1*r5), (1+1*r5), -2]
(2596, 6501, 3782, 3210, 6861, 2159, 879, 6768, 3289, 6778)->[-4, -2, (3+1*r5), (1+1*r5)]
(3973, 3271, 968, 5801, 274, 5970, 6902, 7099, 6844, 2687)->[(-3-1*r5), (0-2*r5), (1+1*r5), 0]
(4419, 1063, 4969, 138, 5674, 7182, 5200, 3956, 603, 6109)->[(-1+1*r5), (2+2*r5), 2, (1+1*r5)]
(2528, 6369, 1348, 2374, 3853, 976, 6192, 2674, 157, 4127)->[(-1+1*r5), (3+1*r5), (-3-1*r5), (-1+1*r5)]
(2437, 5511, 2696, 6088, 1905, 4657, 6744, 5433, 3226, 6140)->[(1-1*r5), 0, 2, (5+1*r5)]
(2313, 4014, 2351, 4911, 3953, 530, 6288, 6934, 1528, 2014)->[(-1-1*r5), (1-1*r5), -2, (-2-2*r5)]
(5888, 4771, 2281, 4011, 5107, 6132, 149, 5686, 5303, 3962)->[(-1-1*r5), 2, 4, (3+1*r5)]
(4384, 897, 7079, 3592, 6569, 4111, 3441, 4305, 4561, 2454)->[-4, (-1-1*r5), 2, (3+1*r5)]
(5442, 805, 3717, 6443, 6541, 6224, 4785, 5943, 2682, 3355)->[(-1-1*r5), -2, (2+2*r5), (-1+1*r5)]
(2758, 4843, 4029, 6960, 1941, 6869, 5881, 2938, 6012, 669)->[0, (1+1*r5), (0-2*r5), (3+1*r5)]
(3360, 1093, 4600, 4010, 5812, 5685, 4535, 3896, 6940, 317)->[(-3-1*r5), (1-1*r5), (-1+1*r5), (-3-1*r5)]
(225, 2659, 4967, 5964, 1582, 3758, 3316, 6232, 1945, 6170)->[(-3-1*r5), 2, (1+1*r5), -4]
(6438, 3433, 2955, 1164, 5935, 4336, 3701, 1879, 1400, 1881)->[-4, (-1-1*r5), 2, (-3-1*r5)]
(3399, 1320, 3559, 4776, 2608, 2578, 2835, 5143, 6841, 220)->[(3+1*r5), (1-1*r5), (1-1*r5), (-3-1*r5)]
(5249, 2658, 5123, 5192, 749, 6863, 914, 6035, 2549, 4440)->[(3+1*r5), -2, (-1-1*r5), 4]
(6526, 3715, 840, 4243, 5715, 2743, 6969, 2620, 1214, 3487)->[(-1+1*r5), (1+1*r5), (2+2*r5), 2]
(2273, 1828, 3719, 1179, 1198, 4175, 4880, 571, 1660, 3838)->[(-3-1*r5), (0+2*r5), (-1-1*r5), 0]
(2600, 1033, 3689, 269, 4814, 1044, 244, 476, 2877, 1727)->[(-3-1*r5), 0, (0-2*r5), (-1-1*r5)]
(129, 3367, 3240, 1901, 5741, 6253, 5330, 2516, 4693, 598)->[-2, (3+1*r5), 4, (-1-1*r5)]
(4803, 5700, 717, 1790, 3153, 1557, 342, 4793, 1244, 1054)->[(2+2*r5), (-1-1*r5), 2, (1-1*r5)]
(5251, 6813, 6918, 4042, 4686, 5809, 5618, 1884, 2557, 6686)->[0, 2, (-1+1*r5), (-5-1*r5)]
(3842, 675, 5058, 4231, 2160, 6676, 5911, 1208, 1948, 2653)->[0, (-5-1*r5), -2, (-1+1*r5)]
(162, 3078, 136, 1288, 5706, 1711, 2417, 3924, 1334, 1851)->[(5+1*r5), 2, 0, (1-1*r5)]
(7168, 2370, 3977, 6156, 6846, 1071, 5615, 849, 2103, 1758)->[(-1-1*r5), 4, (3+1*r5), 2]
(865, 1030, 7174, 1512, 6252, 2957, 4723, 4660, 4982, 4697)->[2, (-3-1*r5), 4, (1+1*r5)]
(1383, 6311, 5567, 3882, 1804, 3185, 5013, 4790, 5050, 2719)->[4, (1+1*r5), -2, (-3-1*r5)]
(2208, 354, 7044, 5767, 4179, 5907, 6740, 951, 5436, 2654)->[-2, (1+1*r5), (-1+1*r5), (-2-2*r5)]
(4513, 994, 3908, 685, 1745, 3827, 6421, 4312, 1114, 6908)->[(-1-1*r5), (-3-1*r5), -2, -4]
(5408, 485, 4677, 2824, 3626, 175, 4591, 2102, 857, 5980)->[2, (1+1*r5), (1-1*r5), (2+2*r5)]
(6113, 1890, 135, 5002, 1165, 2062, 1872, 5432, 3260, 6493)->[-4, 2, (-3-1*r5), (1+1*r5)]
(5411, 4359, 3914, 3727, 3637, 2677, 1593, 1786, 2843, 6078)->[(1-1*r5), -2, (-5-1*r5), 0]
(1667, 5992, 2730, 2602, 499, 5077, 730, 3292, 7198, 5247)->[(-1-1*r5), 2, 4, (-3-1*r5)]
(640, 4608, 5671, 3017, 2571, 3181, 4623, 6897, 2515, 797)->[(-1-1*r5), -4, (3+1*r5), -2]
(6817, 7170, 2469, 3846, 5189, 1777, 6514, 4115, 279, 2107)->[(-3-1*r5), 0, (0+2*r5), (-1-1*r5)]
(2404, 708, 1127, 1000, 3659, 5293, 5102, 4434, 6264, 4411)->[0, 4, 0, (2+2*r5)]
(6976, 131, 6442, 2256, 6449, 3187, 4788, 2933, 3865, 3130)->[(1-1*r5), (-1-1*r5), (2+2*r5), -2]
(6658, 1191, 2377, 6537, 3567, 5874, 3635, 3669, 7125, 3067)->[(-1+1*r5), (-2-2*r5), 2, (-1-1*r5)]
(3335, 1352, 3561, 4329, 2489, 5543, 1359, 2197, 985, 4893)->[0, (-1-1*r5), (0+2*r5), (-3-1*r5)]
(3232, 4897, 5312, 5802, 6191, 3665, 2770, 6068, 4853, 5560)->[2, (1+1*r5), (3+1*r5), 4]
(1094, 6889, 1770, 684, 3792, 6064, 1715, 3059, 3060, 2038)->[2, (5+1*r5), (1-1*r5), 0]
(2721, 5122, 1892, 328, 6985, 3307, 461, 5069, 4144, 926)->[(-1+1*r5), (3+1*r5), (-1+1*r5), (3+1*r5)]
(2304, 318, 4868, 4295, 5544, 2474, 4429, 6130, 4410, 894)->[(-1+1*r5), (-5-1*r5), 0, 2]
