(64, 4707, 6851, 1573, 4073, 2282, 6061, 211, 52, 3004, 5501, 5724)->[(-1+1*r5), 4, (0-2*r5), (-1-1*r5)]
(4899, 3749, 2151, 1128, 7015, 2027, 4979, 4086, 4887, 5496, 1980, 2493)->[-6, -2, -2, -2]
(673, 2498, 1859, 5923, 455, 4103, 5769, 6347, 591, 3695, 1111, 1791)->[-2, (-2+2*r5), (-1-1*r5), (3+1*r5)]
(3904, 162, 1412, 136, 5706, 7148, 1711, 6065, 853, 826, 2076, 5407)->[(2+2*r5), (-2+2*r5), 0, 0]
(2112, 3041, 3776, 3781, 2726, 5104, 6994, 2163, 758, 1047, 1337, 5660)->[-2, (-3+1*r5), (3+1*r5), 4]
(1313, 3970, 1605, 3624, 5768, 7114, 3313, 4145, 2357, 182, 1722, 4316)->[(1+1*r5), (3+1*r5), 2, (2-2*r5)]
(583, 5224, 6343, 2314, 2059, 3722, 3502, 5264, 2642, 5394, 2004, 5883)->[(-1+1*r5), (-1-1*r5), 0, 6]
(3651, 998, 1005, 3743, 4402, 3667, 1333, 5238, 3927, 1432, 6009, 2264)->[(-2-2*r5), (3-1*r5), 2, (-1+1*r5)]
(1732, 1541, 6052, 4455, 4072, 6648, 1290, 2190, 1845, 6070, 5528, 3866)->[(-3+1*r5), 4, (3+1*r5), 2]
(1377, 6177, 4675, 2088, 6506, 2655, 5359, 3440, 5942, 247, 2267, 2079)->[0, (0-2*r5), (3+1*r5), (3-1*r5)]
(5408, 2888, 813, 5293, 4591, 3697, 4434, 2102, 4567, 6264, 4411, 5980)->[(-1+1*r5), (1+1*r5), 0, 6]
(4737, 5125, 4102, 4936, 5772, 5101, 6189, 4240, 5522, 3379, 5918, 3839)->[(1-1*r5), 6, (-1-1*r5), 0]
(2689, 2698, 5739, 4044, 113, 7121, 2709, 3221, 2583, 4854, 7067, 3071)->[(1+1*r5), 6, 0, (-1+1*r5)]
(3296, 4128, 4269, 6893, 143, 7021, 1521, 1458, 883, 2679, 3065, 5374)->[(0-2*r5), 2, (0-2*r5), -2]
(6914, 3657, 2381, 4525, 6586, 6161, 1426, 403, 1687, 5626, 6971, 4766)->[-2, (0+2*r5), -2, (0+2*r5)]
(5984, 5793, 2530, 1415, 4649, 4713, 3020, 3502, 2673, 2642, 4792, 4730)->[(-1+1*r5), -2, (3-1*r5), (2+2*r5)]
(2628, 6202, 7173, 73, 3761, 2994, 1716, 5428, 4216, 6138, 7163, 286)->[(-3+1*r5), (3+1*r5), 2, 4]
(4960, 5441, 4835, 6372, 1893, 6909, 1162, 3627, 1139, 3133, 2869, 1309)->[-4, (3-1*r5), 2, (-3-1*r5)]
(2816, 1729, 2697, 5673, 338, 2195, 5427, 6197, 5756, 2301, 1598, 2111)->[4, 2, (3+1*r5), (-3+1*r5)]
(802, 1539, 4195, 1864, 809, 716, 1907, 5940, 597, 2775, 6013, 4478)->[-2, 6, -2, -2]
(4612, 2119, 2120, 457, 6599, 4696, 1549, 1679, 4719, 753, 2104, 5530)->[-4, -4, 0, -4]
(3489, 6467, 2377, 6666, 4043, 3567, 3855, 4914, 7125, 3067, 188, 5951)->[(3-1*r5), (-3-1*r5), 2, -4]
(1216, 6336, 4773, 5830, 2313, 4911, 6288, 7089, 212, 252, 2014, 4159)->[-4, (-3+1*r5), -2, (-3-1*r5)]
(4833, 2827, 2796, 2125, 5323, 6738, 1405, 5268, 2205, 2009, 4219, 1565)->[(2+2*r5), (-1+1*r5), (3-1*r5), 2]
(5123, 3143, 5320, 428, 6445, 335, 6863, 2549, 950, 662, 4440, 3835)->[(3+1*r5), -2, (-1-1*r5), (-2+2*r5)]
(4132, 6793, 6570, 7051, 4781, 3725, 3438, 1999, 4912, 5008, 4915, 5590)->[(1+1*r5), (0-2*r5), -4, (-1+1*r5)]
(3809, 2884, 3876, 6410, 6105, 7028, 2966, 3481, 6394, 5276, 2590, 3679)->[-2, (0-2*r5), (0-2*r5), -2]
(5057, 6146, 108, 1101, 4157, 3801, 5524, 5687, 1496, 57, 3005, 1503)->[(-2-2*r5), 2, (1-1*r5), (3-1*r5)]
(1120, 1857, 3518, 620, 4731, 4369, 2326, 2873, 3610, 2779, 3388, 830)->[(0+2*r5), 0, (3-1*r5), (-3-1*r5)]
(2852, 4422, 971, 1259, 4141, 3854, 6092, 592, 4945, 1460, 7092, 3543)->[(-1-1*r5), -6, 0, (1-1*r5)]
(2945, 1506, 3202, 2536, 2601, 3304, 6474, 1782, 1143, 1306, 4603, 863)->[(-1-1*r5), (3+1*r5), 2, (-2+2*r5)]
(354, 5767, 6601, 4652, 2574, 5552, 6001, 979, 5907, 6740, 6867, 5463)->[(2-2*r5), (1+1*r5), 2, (-3-1*r5)]
(2296, 1731, 484, 453, 1316, 4070, 1225, 6103, 1016, 602, 6843, 6142)->[(-2+2*r5), -2, (-3-1*r5), (-1-1*r5)]
(161, 1282, 5537, 1476, 40, 6796, 6351, 6384, 2300, 6781, 4542, 7135)->[(-3+1*r5), (0+2*r5), 0, (-3-1*r5)]
(4928, 3910, 199, 6759, 6089, 4078, 4655, 19, 6039, 1624, 3900, 479)->[(1-1*r5), 2, (-3+1*r5), (-2-2*r5)]
(4800, 166, 6022, 1896, 1163, 1165, 2062, 1872, 3219, 3541, 5372, 6493)->[(-1-1*r5), (-2+2*r5), (-3-1*r5), 2]
(5729, 6980, 4582, 5639, 6087, 5290, 6154, 3599, 3319, 6520, 7035, 158)->[(-3-1*r5), -2, (-1-1*r5), (-2+2*r5)]
(896, 577, 4643, 486, 1480, 2504, 6314, 6188, 6097, 6580, 3733, 1019)->[(0+2*r5), (-1+1*r5), 4, (-1-1*r5)]
(1282, 3140, 3332, 1543, 712, 6124, 6511, 6384, 209, 3871, 3837, 2879)->[-2, 4, (-3+1*r5), (-3-1*r5)]
(5633, 5028, 7172, 4262, 902, 4586, 5258, 4940, 3216, 1205, 4662, 1241)->[2, (-2+2*r5), (1+1*r5), (3+1*r5)]
(2148, 838, 5580, 1390, 4846, 3088, 7184, 819, 5492, 501, 3511, 1118)->[(-1+1*r5), (-1-1*r5), 4, (0+2*r5)]
(6272, 996, 2118, 1674, 7005, 4848, 2257, 5938, 6484, 4981, 5341, 1693)->[(-1-1*r5), -6, 0, (-1+1*r5)]
(1188, 1796, 934, 2282, 4170, 5963, 5619, 5780, 5237, 1110, 5114, 5724)->[(-1+1*r5), (1+1*r5), -4, (0-2*r5)]
(2853, 1322, 6922, 3244, 1617, 2098, 3220, 3990, 6167, 4984, 1243, 1596)->[2, -2, 2, -6]
(5857, 2242, 5603, 4390, 4104, 5867, 3981, 398, 5395, 534, 2394, 861)->[(-3-1*r5), -2, (1+1*r5), (-2+2*r5)]
(1317, 2982, 6298, 2632, 5162, 5898, 1420, 1748, 5909, 663, 3802, 1725)->[(-1+1*r5), 4, (0-2*r5), (1+1*r5)]
(5568, 7169, 5193, 2922, 1643, 2701, 1838, 4081, 5462, 2167, 281, 5211)->[2, -2, -6, 2]
(4133, 7143, 6664, 4171, 876, 1648, 3737, 4980, 2617, 5306, 3164, 6333)->[-4, 2, (3+1*r5), (3-1*r5)]
(806, 2664, 3272, 1387, 3787, 5739, 4304, 6581, 4854, 6327, 794, 7100)->[4, (3+1*r5), (-3+1*r5), 2]
(6593, 3333, 6728, 1274, 1898, 346, 2352, 4757, 5722, 1209, 122, 5055)->[(1-1*r5), (0-2*r5), (-1-1*r5), 4]
(2176, 1510, 1192, 9, 6825, 3884, 2158, 5972, 4727, 1720, 1178, 478)->[(1-1*r5), (1+1*r5), -4, (0-2*r5)]
(1056, 5632, 5579, 6700, 2655, 3345, 1855, 1816, 6169, 3740, 1949, 2079)->[(3-1*r5), -4, (3+1*r5), 2]
(419, 5190, 5670, 2984, 5991, 4974, 5646, 5072, 2609, 6353, 2996, 6228)->[-2, -4, (3-1*r5), (3+1*r5)]
(4482, 3496, 3755, 6255, 816, 4917, 6999, 6360, 793, 4731, 3518, 4447)->[(3+1*r5), (3-1*r5), 0, (0-2*r5)]
(2625, 3399, 3432, 1001, 4683, 1615, 560, 1425, 2578, 2608, 2835, 5789)->[(3+1*r5), -2, (-3+1*r5), -4]
(2468, 1668, 2084, 5732, 5512, 6852, 6859, 6830, 2896, 4816, 4954, 5757)->[2, (3-1*r5), (-3-1*r5), -4]
(4608, 353, 3777, 4101, 5861, 3017, 2668, 3181, 2515, 4021, 2904, 382)->[(-1-1*r5), (0-2*r5), 4, (1-1*r5)]
(1888, 7040, 1766, 3880, 5625, 784, 5076, 4949, 5497, 3452, 2845, 862)->[-2, (-1-1*r5), (3+1*r5), (-2+2*r5)]
(2018, 6616, 6638, 655, 1967, 6895, 212, 917, 1240, 154, 6043, 252)->[(0-2*r5), 0, (-3+1*r5), (-3-1*r5)]
(4610, 1251, 1733, 5926, 5071, 7133, 4593, 6739, 1396, 3318, 3099, 573)->[(0+2*r5), -4, (-1-1*r5), (1-1*r5)]
(4640, 3650, 1347, 3970, 6348, 1007, 6547, 182, 376, 4091, 3869, 3103)->[(0+2*r5), (0+2*r5), 2, -2]
(709, 1534, 1100, 1357, 1452, 3981, 5426, 6868, 1398, 534, 1594, 1502)->[(-3-1*r5), (2-2*r5), 2, (1+1*r5)]
(1825, 1730, 6051, 3556, 2629, 1574, 1478, 5735, 523, 1931, 2036, 4309)->[0, (0+2*r5), (-3-1*r5), (-3+1*r5)]
(4674, 4004, 2340, 3108, 5477, 5962, 271, 6032, 4180, 3445, 5621, 4540)->[(-1+1*r5), (0-2*r5), (-1-1*r5), 4]
(6304, 3709, 2311, 2919, 2409, 6951, 6989, 5006, 1042, 568, 1885, 574)->[(0-2*r5), (3+1*r5), 0, (-3+1*r5)]
(5820, 3779, 6790, 5479, 3566, 2639, 3855, 1141, 952, 3641, 188, 6589)->[2, (0-2*r5), 2, (0-2*r5)]
(3744, 6406, 487, 4543, 5194, 1554, 3027, 5555, 6968, 4343, 3128, 1983)->[(1+1*r5), (1-1*r5), 6, 0]
(5473, 581, 2940, 425, 1929, 395, 1868, 3564, 339, 4024, 4923, 2428)->[(-1-1*r5), (-3-1*r5), -2, (-2+2*r5)]
(5088, 1217, 6465, 3558, 1867, 4428, 3632, 2007, 1178, 796, 5597, 478)->[-2, (-2+2*r5), (-1-1*r5), (-3-1*r5)]
(609, 2211, 4228, 3206, 3623, 812, 4717, 114, 7127, 4404, 1303, 283)->[(0+2*r5), (1-1*r5), -4, (-1-1*r5)]
(992, 3361, 5762, 867, 516, 645, 3397, 6053, 6917, 6451, 4699, 3646)->[(1-1*r5), (1+1*r5), 4, (0-2*r5)]
(801, 4738, 2278, 3115, 5931, 6764, 4431, 1424, 1970, 2903, 1112, 3422)->[(3+1*r5), (0+2*r5), (-3+1*r5), 0]
(2528, 2691, 2629, 6149, 5481, 3853, 976, 2674, 2036, 821, 1911, 1439)->[(3-1*r5), (3+1*r5), (0-2*r5), 0]
(5057, 420, 4999, 4488, 5128, 1771, 108, 2699, 3344, 885, 3288, 6011)->[(-2-2*r5), 2, (1-1*r5), (-3+1*r5)]
(2400, 387, 4294, 5001, 1807, 5329, 6833, 6803, 3860, 2005, 2935, 2072)->[(-1+1*r5), (-2-2*r5), -2, (-3+1*r5)]
(3041, 4033, 2755, 229, 4327, 4362, 751, 5650, 1337, 5562, 4572, 6301)->[-2, (3-1*r5), (3+1*r5), 4]
(1153, 3655, 5000, 1833, 3242, 4755, 725, 6965, 4952, 889, 6587, 4668)->[(-3-1*r5), 2, (3-1*r5), 4]
(362, 5900, 1805, 557, 6002, 2803, 6323, 6293, 6674, 5496, 6617, 1980)->[(-3-1*r5), -2, (-1-1*r5), (2-2*r5)]
(3681, 4066, 4609, 101, 4038, 6726, 4286, 2162, 311, 5242, 2140, 2846)->[(3-1*r5), -4, (-3-1*r5), -2]
(1763, 5511, 6088, 1673, 6744, 2223, 1072, 4976, 2456, 3226, 4989, 3423)->[0, 0, (-2+2*r5), (2+2*r5)]
(2560, 6500, 2533, 3175, 6517, 3574, 6807, 24, 5177, 6267, 7197, 3807)->[0, (2+2*r5), 0, (-2+2*r5)]
(4193, 6530, 901, 4325, 808, 1514, 6643, 500, 117, 6325, 1146, 7004)->[-4, 4, 4, 0]
(6944, 4484, 4647, 6344, 409, 3757, 402, 2518, 601, 1083, 3741, 7102)->[(1-1*r5), 6, (1+1*r5), 0]
(4832, 6308, 4518, 743, 4765, 3018, 6539, 4495, 4852, 1877, 3997, 5534)->[-6, (1-1*r5), 0, (-1-1*r5)]
(5922, 3786, 1739, 4874, 1581, 5514, 3055, 368, 5266, 3703, 4986, 2367)->[-6, (1+1*r5), (-1+1*r5), 0]
(800, 6179, 5543, 7175, 2473, 4329, 1707, 4396, 1522, 2489, 6555, 4893)->[(-1+1*r5), (-1-1*r5), 4, (0-2*r5)]
(6273, 4931, 2985, 2442, 3241, 3593, 2418, 2932, 1045, 3414, 2231, 2718)->[2, (3-1*r5), (-1+1*r5), (2+2*r5)]
(1089, 3203, 167, 6472, 6921, 330, 1579, 6515, 2485, 3286, 5558, 5726)->[(2-2*r5), 0, 0, (2+2*r5)]
(3581, 5090, 37, 744, 1129, 6952, 6997, 6104, 1656, 3002, 1213, 6334)->[(3+1*r5), -2, (1+1*r5), (2-2*r5)]
(3811, 4739, 5028, 1801, 4586, 2064, 4272, 6832, 435, 535, 5273, 4122)->[(1+1*r5), 2, (-2+2*r5), (3+1*r5)]
(1794, 2819, 351, 4230, 1641, 810, 4202, 3832, 5876, 2200, 2750, 703)->[(-1+1*r5), 2, (-3+1*r5), (-2-2*r5)]
(4770, 5476, 4840, 137, 4650, 6623, 4051, 5525, 3930, 4892, 5245, 4607)->[(2+2*r5), 0, (2-2*r5), 0]
(4641, 4131, 6693, 2182, 103, 5607, 6892, 974, 5842, 3764, 2389, 92)->[(-3+1*r5), 4, (-3-1*r5), 2]
(4776, 6920, 2608, 2835, 6613, 6998, 5399, 1464, 2041, 7066, 220, 5023)->[(0+2*r5), -2, -2, (0-2*r5)]
(5210, 5958, 5770, 5804, 877, 144, 6673, 1234, 725, 759, 3258, 4668)->[(-3-1*r5), (3-1*r5), 0, (0+2*r5)]
(4834, 4452, 6436, 5545, 1450, 746, 5387, 4815, 5231, 1339, 6556, 5470)->[6, 2, -2, 2]
(2565, 6949, 1640, 2797, 1166, 4815, 4016, 1237, 6870, 4090, 1339, 6366)->[(3+1*r5), 2, (-1-1*r5), (-2+2*r5)]
(4642, 2312, 5864, 5961, 6760, 2836, 21, 3158, 599, 5845, 6709, 6300)->[(-3+1*r5), 0, (-3-1*r5), (0-2*r5)]
(4454, 6471, 4555, 109, 6223, 1076, 6806, 2039, 632, 2236, 254, 5471)->[2, -4, (-3+1*r5), (-3-1*r5)]
(4708, 6821, 4838, 6761, 3498, 7083, 2732, 432, 6736, 5910, 475, 5917)->[(3+1*r5), 2, (-3+1*r5), 4]
(3136, 5629, 1991, 232, 5899, 5228, 4941, 3864, 2073, 6234, 4248, 4415)->[(1-1*r5), -6, (-1-1*r5), 0]
(1761, 5082, 6084, 6348, 6988, 1466, 6641, 6865, 2648, 3097, 1978, 3103)->[(3+1*r5), 4, 2, (-3+1*r5)]
(1696, 7073, 1096, 1423, 1392, 1456, 5234, 5333, 4182, 4503, 4798, 1951)->[(-1-1*r5), (0-2*r5), 4, (-1+1*r5)]
(1185, 4802, 4006, 4588, 4014, 2991, 2832, 2351, 530, 3759, 6934, 4285)->[-2, -2, -2, -6]
(3844, 2086, 1417, 4140, 1839, 4208, 4752, 6550, 6457, 2363, 6845, 6975)->[(0+2*r5), -4, (1+1*r5), (1-1*r5)]
(3652, 1705, 2123, 2189, 5486, 5902, 1809, 2033, 438, 3198, 4861, 2942)->[-4, (-1+1*r5), (-1-1*r5), (0+2*r5)]
(2336, 5888, 4771, 7012, 5319, 7026, 6132, 4279, 1048, 3962, 1341, 4511)->[-4, (-1+1*r5), (1+1*r5), (0+2*r5)]
(4424, 3469, 1488, 1808, 3419, 2419, 5872, 3446, 631, 4534, 1145, 635)->[-4, (3+1*r5), (-3+1*r5), 2]
(2240, 4069, 2857, 6602, 3629, 878, 142, 5886, 1938, 4663, 3965, 1630)->[(-3-1*r5), 2, (1+1*r5), (-2+2*r5)]
(2848, 2627, 360, 1545, 15, 1296, 6352, 3954, 884, 1206, 5081, 1882)->[4, (-3+1*r5), -2, (3+1*r5)]
(4065, 6266, 6280, 4874, 5514, 6989, 4783, 1046, 6935, 568, 922, 1215)->[(-3-1*r5), (0+2*r5), (3-1*r5), 0]
(3961, 3426, 3941, 5895, 5225, 5195, 1869, 1614, 1200, 977, 3257, 2235)->[(1-1*r5), -6, (1+1*r5), 0]
(1892, 4810, 3307, 461, 1742, 5583, 4144, 3697, 3026, 4567, 3550, 4895)->[2, 4, (3-1*r5), (3+1*r5)]
(6951, 6440, 2409, 6284, 6967, 750, 6257, 594, 4819, 3380, 2327, 7000)->[(-1-1*r5), 6, 0, (1-1*r5)]
(4001, 4865, 1254, 1642, 1194, 2795, 1037, 3571, 4308, 6328, 4253, 6878)->[-6, 2, 2, -2]
(1113, 4448, 5484, 1806, 4527, 596, 1172, 3412, 5495, 696, 761, 5403)->[(-3+1*r5), (3+1*r5), -2, -4]
(6241, 5060, 1990, 236, 493, 881, 3473, 4145, 4178, 1691, 4316, 509)->[(-2+2*r5), (3+1*r5), (1+1*r5), -2]
(2657, 4577, 2277, 5321, 5100, 5810, 1075, 5855, 5906, 7034, 4764, 543)->[(1+1*r5), (-3-1*r5), 2, (2-2*r5)]
(2305, 804, 5446, 4721, 7154, 5012, 2168, 3129, 5242, 2203, 2140, 2430)->[0, (0-2*r5), (-3-1*r5), (-3+1*r5)]
(2757, 678, 3622, 5834, 913, 4276, 6837, 1430, 6038, 2361, 2458, 6206)->[(-2-2*r5), -2, (-1+1*r5), (-3+1*r5)]
(1122, 4516, 646, 4903, 4074, 5995, 367, 1555, 5875, 7060, 1592, 3708)->[(-1+1*r5), 0, 6, (-1-1*r5)]
(737, 5921, 3430, 6826, 4894, 4817, 2196, 5141, 5749, 5688, 3514, 4190)->[(-3+1*r5), (2+2*r5), (-1+1*r5), -2]
(5440, 642, 2821, 1065, 2764, 6007, 5170, 5554, 5586, 1239, 2650, 6235)->[-4, -2, (3+1*r5), (-3+1*r5)]
(4899, 4900, 7171, 5606, 7015, 1226, 5547, 242, 5202, 2008, 2874, 2780)->[(-2-2*r5), -2, (1-1*r5), (-3+1*r5)]
(5218, 5379, 1286, 5607, 3560, 3883, 6220, 2389, 921, 2171, 5500, 2462)->[-2, (0+2*r5), (0-2*r5), 2]
(5249, 2658, 6018, 3079, 5064, 5192, 749, 15, 4017, 2739, 3828, 1882)->[4, (1-1*r5), (-1-1*r5), (0+2*r5)]
(5505, 5922, 3172, 1432, 4402, 4562, 1813, 6551, 1080, 4986, 1275, 6811)->[(-2-2*r5), 2, (-1+1*r5), (3-1*r5)]
(2241, 3106, 7105, 5967, 1776, 1138, 1780, 4148, 4661, 5748, 2808, 7189)->[(-1-1*r5), (2-2*r5), (-3-1*r5), -2]
(6945, 6118, 6598, 6886, 4585, 3661, 6586, 5464, 2777, 5626, 6363, 2077)->[(1-1*r5), (0+2*r5), (-1-1*r5), 4]
(2690, 3202, 4679, 2536, 2605, 1870, 978, 5301, 4249, 6461, 2334, 575)->[(2-2*r5), (3+1*r5), (1+1*r5), 2]
(5216, 1026, 5380, 5566, 7147, 622, 2927, 563, 377, 4443, 412, 2398)->[(3+1*r5), -4, 2, (3-1*r5)]
(1920, 5568, 1925, 6408, 2763, 5644, 301, 4862, 3282, 2550, 5211, 3614)->[(3-1*r5), -2, (-2-2*r5), (-1+1*r5)]
(3364, 165, 2920, 5548, 5038, 303, 2768, 1238, 5720, 3738, 6492, 3167)->[(1+1*r5), (1-1*r5), (0+2*r5), 4]
(1090, 6749, 4005, 4742, 6791, 5640, 3081, 2193, 5753, 474, 3930, 4607)->[6, 0, (-1-1*r5), (1-1*r5)]
(4873, 2924, 2623, 5039, 3696, 6033, 6079, 6042, 1787, 1820, 5053, 3231)->[(0+2*r5), (-1-1*r5), (-1+1*r5), -4]
(6592, 4611, 4173, 7097, 3376, 529, 1686, 6072, 5977, 859, 316, 1055)->[(3-1*r5), -2, -4, (-3-1*r5)]
(609, 2211, 4355, 870, 392, 2152, 5737, 5165, 6229, 6485, 3516, 1148)->[(0+2*r5), -2, (0-2*r5), -2]
(4353, 4100, 421, 6245, 745, 4425, 2508, 4108, 3406, 2095, 4347, 4444)->[-2, (2-2*r5), (1+1*r5), (3+1*r5)]
(350, 6215, 5065, 299, 6573, 4463, 4368, 6131, 6391, 6522, 2523, 1374)->[(0-2*r5), (1+1*r5), (1-1*r5), -4]
(6721, 7137, 5539, 2535, 3434, 3821, 2702, 6062, 528, 4822, 3895, 4918)->[2, (1-1*r5), (-2-2*r5), (-3+1*r5)]
(2945, 6468, 5930, 4556, 3469, 2995, 3446, 1143, 151, 1914, 1469, 4926)->[-4, (3+1*r5), (3-1*r5), 2]
(7104, 161, 6178, 4870, 5031, 40, 4040, 5484, 6262, 1113, 858, 957)->[0, (3+1*r5), (-3+1*r5), (0-2*r5)]
(160, 4419, 1063, 4969, 5674, 1485, 5517, 3663, 5309, 2588, 4797, 6111)->[2, (3+1*r5), (-2+2*r5), (1+1*r5)]
(6785, 5252, 3141, 3206, 5796, 6920, 5397, 6998, 1303, 6552, 3931, 2143)->[4, (1-1*r5), (-1-1*r5), (0-2*r5)]
(5623, 132, 6851, 1803, 5963, 590, 18, 211, 54, 1110, 2362, 4925)->[(-1+1*r5), (0+2*r5), (-1-1*r5), -4]
(5888, 4771, 6787, 5222, 5286, 4777, 1612, 149, 4886, 5303, 2524, 3517)->[(-1-1*r5), 2, (-2+2*r5), (3+1*r5)]
(6621, 6977, 6084, 2648, 2829, 14, 1007, 1297, 6898, 3638, 1880, 3869)->[(0+2*r5), 4, (1+1*r5), (1-1*r5)]
(577, 193, 7043, 7, 6378, 4939, 396, 77, 5169, 5457, 757, 3733)->[(1+1*r5), (-1+1*r5), (0+2*r5), -4]
(226, 3140, 6822, 1543, 5065, 5322, 6346, 2031, 3375, 3091, 6131, 1531)->[(-1-1*r5), 4, (1-1*r5), (0-2*r5)]
(4036, 711, 5960, 5321, 6247, 139, 3243, 5100, 5116, 1937, 2742, 4700)->[(-2+2*r5), (-3-1*r5), (1+1*r5), -2]
(6016, 6019, 7110, 3079, 360, 4537, 1204, 3828, 567, 3417, 4442, 5081)->[(1+1*r5), -2, (2-2*r5), (3+1*r5)]
(357, 4807, 6921, 5742, 1873, 2833, 3217, 6515, 23, 3000, 186, 3582)->[(-1-1*r5), 0, (1-1*r5), 6]
(7104, 6178, 6754, 6637, 1295, 2546, 596, 1591, 696, 5850, 3262, 4383)->[0, 6, (1-1*r5), (-1-1*r5)]
(2209, 3043, 3818, 4112, 1554, 3347, 3702, 4343, 1272, 825, 5782, 4574)->[2, (1-1*r5), (2+2*r5), (-3+1*r5)]
(5892, 3717, 1065, 5163, 6443, 6541, 6224, 5554, 5429, 2486, 5814, 4795)->[(-1-1*r5), (1-1*r5), 6, 0]
(2080, 5637, 4199, 2184, 2825, 2637, 2687, 6902, 7099, 6844, 63, 1823)->[(-3-1*r5), -4, 2, (3-1*r5)]
(34, 3074, 580, 2981, 4552, 3337, 2636, 7116, 1265, 4857, 6747, 6876)->[2, 2, -6, 2]
(4962, 2951, 4109, 2959, 1104, 2865, 915, 7190, 823, 984, 4252, 5887)->[(-1-1*r5), (-2+2*r5), (3+1*r5), -2]
(1889, 2822, 4331, 6973, 7150, 5490, 2675, 6066, 629, 6098, 5592, 5693)->[(2+2*r5), (1-1*r5), (3-1*r5), 2]
(3939, 901, 4550, 5287, 1578, 4590, 3728, 5823, 117, 4823, 3932, 2847)->[(-1-1*r5), (0+2*r5), 4, (1-1*r5)]
(2464, 3362, 1795, 1670, 3847, 1448, 265, 3368, 1902, 6386, 5781, 1368)->[-2, (-1+1*r5), (-2-2*r5), (-3+1*r5)]
(4896, 130, 7142, 6923, 4460, 173, 4337, 3634, 6417, 852, 763, 606)->[(0-2*r5), (0-2*r5), 2, -2]
(2656, 5825, 2082, 2756, 2182, 103, 2792, 2569, 6120, 5396, 4126, 3134)->[0, (1+1*r5), -6, (-1+1*r5)]
(1312, 7137, 1316, 2535, 6184, 1225, 3594, 5709, 6159, 4113, 5879, 6074)->[2, -2, -6, -2]
(1027, 4453, 4198, 6107, 5034, 2771, 3668, 630, 6904, 3257, 2235, 1756)->[(1-1*r5), (-2-2*r5), 2, (-3+1*r5)]
(7106, 2918, 1255, 3529, 1231, 2577, 3796, 6357, 601, 3995, 7102, 4799)->[(-3+1*r5), (3+1*r5), (0+2*r5), 0]
(3201, 3490, 3171, 739, 2566, 3015, 6313, 4620, 7120, 5976, 4344, 5531)->[2, (3+1*r5), 4, (3-1*r5)]
(129, 6594, 228, 6182, 3367, 3240, 1901, 2382, 6993, 3893, 727, 4568)->[-2, (3+1*r5), (-2+2*r5), (-1-1*r5)]
(5029, 5095, 6698, 3403, 1550, 3768, 2450, 4594, 6611, 5847, 1560, 1343)->[(3-1*r5), (1-1*r5), -2, (-2-2*r5)]
(2466, 4292, 3911, 296, 2575, 308, 2164, 4277, 6164, 1112, 1051, 3422)->[(0+2*r5), (3+1*r5), 0, (-3+1*r5)]
(257, 450, 1441, 6532, 2469, 5189, 6817, 2610, 5171, 279, 6717, 1918)->[(0-2*r5), (1-1*r5), 4, (-1-1*r5)]
(833, 1956, 3943, 5131, 1228, 877, 144, 1202, 6707, 980, 5532, 4733)->[(0-2*r5), 0, (3-1*r5), (3+1*r5)]
(7040, 3781, 1766, 4710, 879, 3311, 5328, 6768, 2163, 659, 3289, 6778)->[(2-2*r5), -2, (3+1*r5), (1+1*r5)]
(1665, 162, 2818, 3621, 6854, 1288, 1711, 6160, 5106, 506, 1851, 958)->[(2+2*r5), 2, (1-1*r5), (-3+1*r5)]
(4384, 3618, 6245, 3592, 5578, 5996, 5197, 2606, 6735, 3441, 4561, 4444)->[(-1-1*r5), -2, (-2+2*r5), (3+1*r5)]
(1025, 1058, 1729, 3617, 6981, 5161, 5673, 4176, 3377, 148, 1021, 415)->[4, 2, (3+1*r5), (3-1*r5)]
(2689, 3138, 4965, 2087, 4711, 1964, 4304, 6480, 2291, 6327, 5310, 3071)->[4, (3+1*r5), (3-1*r5), 2]
(4196, 1447, 168, 5256, 2509, 48, 3376, 3856, 3448, 2939, 5182, 1055)->[(-1+1*r5), (-1-1*r5), -4, (0-2*r5)]
(608, 7076, 2214, 393, 529, 2450, 3411, 6165, 3768, 4921, 859, 222)->[0, (1-1*r5), (-1-1*r5), -6]
(6658, 6790, 5960, 6537, 3567, 1937, 4151, 184, 3641, 7034, 3067, 4764)->[2, (-3-1*r5), (-2+2*r5), (-1-1*r5)]
(610, 5155, 133, 3046, 4039, 6565, 6824, 4877, 2580, 2069, 3989, 4505)->[-2, (0+2*r5), (0-2*r5), -2]
(6622, 1671, 3496, 5799, 2861, 1518, 1874, 4756, 6999, 1626, 3707, 62)->[(3+1*r5), 2, (-3+1*r5), -4]
(289, 4451, 1638, 3242, 5770, 5804, 6412, 1811, 3127, 3224, 2586, 6587)->[-6, (-1+1*r5), 0, (1+1*r5)]
(1088, 1284, 5444, 3625, 3179, 396, 77, 2294, 4311, 6712, 5017, 2559)->[2, 2, (0+2*r5), (0-2*r5)]
(5314, 5602, 2180, 7042, 1062, 3807, 341, 2520, 6267, 5148, 734, 3358)->[(-3+1*r5), (2+2*r5), (1-1*r5), 2]
(3105, 1765, 1574, 1478, 1416, 2760, 3690, 6312, 6379, 3023, 2129, 3711)->[0, (1+1*r5), -6, (1-1*r5)]
