(523, 916, 662, 156, 543, 416, 159, 37, 934, 555, 940, 174, 1081, 188, 316, 446, 828, 1087, 1094, 717, 80, 466, 467, 85, 733, 1129, 879, 242, 245, 1143)->[(1-1*r5), (-1-1*r5), 0, -2]
(260, 655, 1041, 1045, 150, 408, 1185, 1066, 43, 46, 176, 434, 179, 308, 949, 55, 183, 57, 953, 572, 703, 324, 708, 969, 975, 84, 342, 1116, 98, 622)->[-2, (1-1*r5), 0, (1+1*r5)]
(389, 775, 392, 1164, 397, 1172, 280, 793, 542, 31, 417, 806, 1063, 175, 944, 689, 823, 571, 964, 71, 712, 202, 844, 974, 463, 479, 223, 621, 374, 767)->[2, -2, -2, 2]
(900, 517, 1160, 16, 531, 1043, 798, 1056, 33, 420, 1061, 810, 47, 943, 1071, 950, 829, 62, 450, 970, 222, 225, 355, 611, 485, 230, 624, 114, 375, 250)->[(-1-1*r5), (-1+1*r5), 2, 0]
(2, 260, 388, 390, 11, 787, 148, 789, 663, 671, 673, 1185, 933, 556, 46, 48, 816, 572, 962, 198, 842, 204, 1104, 472, 1116, 360, 233, 234, 1136, 629)->[(-1-1*r5), -2, 0, (-1+1*r5)]
(513, 521, 779, 399, 912, 1148, 1167, 1171, 661, 1150, 157, 30, 29, 684, 432, 435, 447, 328, 968, 727, 600, 90, 731, 92, 863, 1128, 1001, 882, 1020, 126)->[0, (1-1*r5), (1+1*r5), -2]
(770, 1028, 1159, 1032, 394, 145, 402, 785, 154, 803, 681, 171, 559, 444, 832, 68, 839, 73, 1097, 845, 849, 850, 602, 991, 995, 615, 1000, 367, 1017, 127)->[2, 2, 2, -2]
(1153, 519, 906, 1163, 400, 1041, 277, 667, 417, 805, 1063, 680, 689, 434, 179, 52, 564, 571, 712, 718, 975, 340, 343, 91, 869, 997, 490, 622, 117, 253)->[0, -2, (1-1*r5), (1+1*r5)]
(258, 647, 1036, 1174, 1177, 923, 42, 819, 704, 194, 706, 454, 457, 205, 852, 597, 218, 988, 480, 608, 121, 99, 491, 498, 1011, 632, 377, 1147, 765, 1151)->[2, (-1+1*r5), 0, (1+1*r5)]
(1026, 387, 9, 649, 529, 403, 1177, 923, 800, 169, 42, 1195, 948, 568, 59, 576, 72, 588, 716, 210, 597, 855, 604, 351, 358, 359, 377, 1144, 505, 1149)->[(1+1*r5), 2, 0, (-1+1*r5)]
(899, 134, 908, 529, 18, 1177, 794, 1179, 161, 931, 307, 948, 1080, 957, 192, 576, 1101, 721, 594, 605, 862, 99, 363, 1133, 1011, 121, 1147, 764, 1149, 766)->[(1+1*r5), 0, (-1+1*r5), 2]
(515, 1029, 273, 786, 534, 409, 797, 1054, 1184, 1189, 553, 681, 171, 698, 68, 966, 585, 1097, 459, 461, 471, 1123, 1127, 1000, 745, 1131, 1007, 1010, 122, 1022)->[(-1+1*r5), (1+1*r5), 0, -2]
(259, 1032, 649, 273, 22, 664, 1048, 800, 803, 676, 1189, 171, 811, 1074, 59, 958, 832, 200, 331, 850, 1106, 476, 351, 613, 486, 1127, 492, 1138, 1144, 1022)->[(1+1*r5), 2, 0, (1-1*r5)]
(1027, 277, 671, 929, 675, 678, 807, 1068, 1069, 816, 179, 564, 309, 183, 953, 186, 1082, 572, 831, 834, 197, 198, 718, 475, 737, 98, 229, 234, 623, 117)->[(1-1*r5), (-1-1*r5), 0, 2]
(9, 654, 1169, 534, 922, 286, 1184, 165, 1189, 1192, 1195, 184, 698, 958, 577, 459, 716, 333, 1102, 81, 212, 476, 351, 868, 613, 1125, 359, 751, 761, 507)->[2, (1+1*r5), (1-1*r5), 0]
(769, 898, 1027, 516, 1153, 1030, 909, 1039, 405, 533, 1045, 1047, 538, 675, 164, 942, 564, 949, 310, 183, 315, 831, 322, 324, 350, 101, 997, 489, 622, 253)->[0, -2, (-1+1*r5), (1+1*r5)]
(642, 6, 263, 136, 1160, 525, 271, 531, 152, 1180, 799, 32, 804, 172, 62, 450, 853, 1111, 736, 225, 357, 614, 231, 873, 372, 885, 506, 252, 125, 639)->[-2, (1+1*r5), (-1+1*r5), 0]
(640, 386, 133, 646, 907, 146, 1173, 539, 924, 1061, 167, 47, 943, 1071, 187, 827, 77, 1108, 215, 474, 375, 353, 481, 379, 627, 118, 246, 502, 378, 251)->[-2, 0, (1+1*r5), (-1+1*r5)]
(130, 131, 899, 651, 1170, 796, 931, 550, 424, 41, 429, 815, 177, 307, 1075, 189, 1090, 707, 1092, 465, 594, 216, 730, 477, 363, 366, 754, 119, 509, 894)->[(1+1*r5), (1-1*r5), 2, 0]
(260, 390, 646, 1039, 660, 1173, 538, 801, 675, 678, 43, 942, 309, 187, 835, 324, 708, 198, 327, 204, 337, 598, 474, 1120, 1121, 98, 739, 232, 233, 379)->[-2, -2, 2, 2]
(518, 263, 136, 648, 904, 1168, 657, 918, 411, 670, 799, 32, 928, 162, 163, 1187, 549, 1065, 566, 569, 207, 214, 984, 860, 1005, 500, 1013, 376, 252, 255)->[0, (1+1*r5), 2, (-1+1*r5)]
