(111, 370, 504, 409, 442, 286)->[0, -2*r2, 6, -2]
(546, 3, 263, 218, 316, 159)->[0, 2*r2, -2, -6]
(482, 294, 77, 366, 569, 188)->[-2*r2, 2*r2, -4, -4]
(419, 114, 84, 571, 475, 191)->[2*r2, -2*r2, -4, -4]
(163, 361, 339, 153, 570, 347)->[-4*r2, 0, 4, 0]
(420, 264, 138, 44, 498, 479)->[-2*r2, -2*r2, 4, 4]
(384, 453, 70, 204, 368, 439)->[-2*r2, 0, -2, 6]
(259, 40, 397, 19, 564, 62)->[4*r2, 2*r2, 2, -2]
(449, 367, 336, 21, 25, 540)->[2*r2, -2*r2, 4, -4]
(321, 520, 142, 526, 337, 499)->[0, 4*r2, 4, 0]
(131, 421, 523, 494, 15, 55)->[-2*r2, 4*r2, 2, 2]
(416, 268, 524, 238, 531, 383)->[4*r2, 0, 0, -4]
(193, 67, 328, 172, 305, 115)->[2*r2, 2*r2, 4, 4]
(194, 291, 325, 48, 146, 125)->[-4*r2, -2*r2, -2, 2]
(364, 236, 500, 23, 155, 478)->[2*r2, 0, 2, 6]
(165, 550, 173, 110, 559, 53)->[-4*r2, 2*r2, 2, -2]
(391, 201, 51, 310, 567, 379)->[-2*r2, -4*r2, -2, -2]
(162, 136, 43, 13, 407, 573)->[2*r2, 2*r2, -4, -4]
(174, 177, 403, 532, 343, 572)->[-2*r2, -4*r2, -2, 2]
(257, 98, 459, 183, 219, 350)->[2*r2, -4*r2, -2, 2]
(417, 424, 393, 522, 14, 249)->[2*r2, 4*r2, 2, 2]
(355, 329, 242, 151, 248, 505)->[4*r2, 0, 4, 0]
(256, 289, 227, 518, 243, 189)->[2*r2, 4*r2, 2, -2]
(422, 18, 404, 86, 281, 253)->[0, 2*r2, -6, 2]
(235, 176, 211, 116, 565, 95)->[-2*r2, -4*r2, 2, -2]
(132, 553, 205, 147, 344, 124)->[2*r2, 0, 6, -2]
(64, 39, 425, 426, 300, 434)->[0, 2*r2, 2, -6]
(166, 9, 298, 239, 187, 222)->[-2*r2, 4*r2, 2, -2]
(72, 42, 301, 80, 338, 284)->[-4*r2, 2*r2, -2, -2]
(36, 232, 17, 246, 215, 27)->[2*r2, 0, -2, 6]
(429, 508, 506, 372, 410, 156)->[4*r2, 2*r2, -2, -2]
(296, 202, 272, 437, 537, 154)->[2*r2, 2*r2, -4, 4]
(101, 269, 145, 470, 472, 474)->[-2*r2, 2*r2, -4, 4]
(333, 141, 558, 406, 60, 317)->[4*r2, -2*r2, 2, -2]
(477, 78, 240, 348, 61, 255)->[2*r2, 0, -6, -2]
(480, 4, 458, 496, 533, 31)->[2*r2, -4*r2, 2, -2]
(96, 320, 192, 170, 331, 538)->[0, 4*r2, 0, 4]
(208, 113, 405, 377, 251, 541)->[0, -4*r2, 0, -4]
(104, 105, 106, 433, 180, 126)->[0, -2*r2, 2, -6]
(514, 140, 466, 276, 185, 123)->[4*r2, -2*r2, 2, 2]
(386, 493, 561, 178, 340, 381)->[-4*r2, 2*r2, 2, 2]
(322, 195, 6, 335, 210, 469)->[-4*r2, 0, 0, 4]
(288, 354, 7, 555, 396, 319)->[0, -2*r2, -2, 6]
(34, 292, 274, 280, 473, 58)->[0, 2*r2, 2, 6]
(262, 171, 334, 342, 214, 415)->[4*r2, 0, 0, 4]
(450, 293, 395, 401, 277, 285)->[-4*r2, 0, -4, 0]
(356, 485, 46, 144, 87, 314)->[-2*r2, 4*r2, -2, -2]
(324, 455, 327, 270, 560, 435)->[-4*r2, -2*r2, 2, -2]
(487, 233, 12, 271, 402, 467)->[2*r2, -2*r2, -4, 4]
(35, 471, 120, 91, 92, 542)->[0, -2*r2, 2, 6]
(456, 265, 299, 430, 411, 447)->[0, 2*r2, -6, -2]
(224, 423, 168, 182, 252, 157)->[2*r2, 0, -2, -6]
(358, 521, 175, 530, 181, 346)->[0, -4*r2, 4, 0]
(385, 290, 59, 52, 283, 382)->[4*r2, 0, -4, 0]
(388, 5, 567, 391, 551, 332, 428, 82, 51, 310, 311, 93)->[-4, -4, -2*r2, -2*r2]
(64, 516, 37, 454, 548, 425, 10, 394, 300, 426, 309, 254)->[-2, 2, 2*r2, -4*r2]
(324, 5, 517, 327, 455, 400, 464, 435, 186, 315, 93, 510)->[-6, -2, 0, -2*r2]
(97, 130, 452, 282, 314, 46, 47, 144, 378, 22, 87, 26)->[-2, 6, -2*r2, 0]
(1, 260, 292, 234, 304, 274, 371, 280, 57, 58, 507, 476)->[-2, 2, 2*r2, 4*r2]
(163, 324, 135, 327, 270, 560, 339, 278, 440, 570, 347, 287)->[-6, -2, 2*r2, 0]
(193, 67, 549, 134, 71, 390, 172, 115, 54, 119, 374, 412)->[2, 2, 4*r2, 2*r2]
(544, 388, 326, 11, 460, 557, 495, 81, 82, 529, 562, 376)->[-2, -2, -2*r2, -4*r2]
(33, 358, 103, 521, 112, 176, 530, 211, 565, 346, 318, 95)->[-2, -6, 2*r2, 0]
(515, 132, 536, 74, 492, 205, 369, 307, 147, 503, 344, 511)->[2, 2, 4*r2, -2*r2]
(422, 456, 265, 267, 299, 430, 275, 404, 22, 281, 26, 253)->[0, 4, -4*r2, 0]
(65, 353, 68, 389, 102, 134, 169, 461, 371, 308, 119, 57)->[-2, 2, 4*r2, 2*r2]
(376, 454, 394, 400, 81, 528, 245, 438, 502, 216, 445, 510)->[-4, 0, 0, -4*r2]
(128, 129, 98, 257, 345, 73, 459, 341, 88, 313, 350, 63)->[2, -6, -2*r2, 0]
(197, 261, 171, 525, 334, 213, 214, 342, 568, 122, 380, 414)->[6, 2, 0, 2*r2]
(448, 66, 535, 233, 556, 271, 402, 467, 117, 247, 441, 443)->[2, -2, -4*r2, 2*r2]
(225, 418, 514, 228, 8, 360, 139, 140, 491, 303, 185, 123)->[4, -4, 2*r2, 2*r2]
(420, 102, 295, 138, 479, 109, 461, 306, 498, 148, 566, 127)->[-2, -2, 4*r2, 2*r2]
(482, 451, 456, 299, 366, 563, 184, 569, 411, 188, 29, 447)->[-2, 2, -4*r2, -2*r2]
(161, 100, 69, 452, 200, 75, 76, 267, 302, 47, 275, 90)->[2, 6, -2*r2, 0]
(97, 101, 554, 203, 269, 497, 470, 472, 121, 378, 446, 543)->[-4, 4, -2*r2, 2*r2]
(357, 487, 459, 12, 79, 271, 402, 183, 219, 221, 350, 575)->[4, -4, -2*r2, 2*r2]
(545, 100, 231, 296, 330, 302, 16, 272, 437, 568, 537, 380)->[4, 4, -2*r2, 2*r2]
(515, 548, 167, 488, 362, 107, 527, 241, 83, 503, 250, 254)->[-2, 2, 4*r2, -2*r2]
(193, 417, 197, 328, 393, 424, 172, 305, 468, 213, 375, 249)->[4, 4, 2*r2, 2*r2]
(289, 509, 227, 387, 69, 518, 199, 359, 41, 489, 75, 189)->[2, 6, 0, -2*r2]
(448, 129, 481, 230, 137, 457, 441, 463, 436, 313, 220, 158)->[0, -4, -4*r2, 0]
(513, 164, 133, 390, 139, 365, 303, 306, 85, 534, 566, 412)->[2, -2, 4*r2, 2*r2]
(322, 195, 260, 70, 234, 204, 335, 368, 431, 210, 439, 89)->[-4, 0, 0, 4*r2]
(384, 101, 453, 398, 368, 145, 209, 149, 150, 439, 470, 474)->[-2, 2, -2*r2, 4*r2]
(37, 105, 10, 106, 273, 50, 180, 245, 438, 501, 28, 126)->[-2, -2, 2*r2, -4*r2]
(65, 353, 71, 520, 362, 142, 526, 527, 337, 369, 374, 536)->[0, 4, 4*r2, 0]
(481, 99, 196, 230, 552, 237, 206, 20, 247, 408, 443, 223)->[-2, -2, -4*r2, 2*r2]
(477, 226, 419, 137, 45, 240, 114, 436, 571, 475, 348, 61)->[2, -2, -4*r2, -2*r2]
(160, 288, 354, 35, 512, 7, 399, 471, 24, 91, 120, 319)->[0, -4, 0, 4*r2]
(192, 320, 417, 545, 200, 424, 170, 331, 76, 522, 14, 16)->[2, 6, 0, 2*r2]
(259, 355, 261, 40, 329, 397, 525, 468, 151, 505, 62, 375)->[6, 2, 2*r2, 0]
(198, 455, 235, 270, 176, 273, 50, 435, 116, 560, 444, 95)->[-4, -4, 2*r2, -2*r2]
(513, 164, 358, 109, 175, 530, 181, 504, 409, 442, 286, 127)->[0, -4, 4*r2, 0]
(296, 392, 202, 490, 272, 18, 404, 117, 86, 535, 154, 253)->[2, 2, -4*r2, 2*r2]
(323, 104, 105, 106, 367, 336, 433, 244, 373, 56, 25, 540)->[2, -2, 2*r2, -4*r2]
(352, 385, 382, 266, 462, 207, 52, 217, 59, 221, 30, 575)->[6, -2, -2*r2, 0]
(68, 167, 295, 361, 339, 148, 308, 152, 153, 250, 347, 349)->[-4, 0, 4*r2, 0]
(64, 546, 3, 547, 199, 39, 263, 425, 108, 434, 218, 509)->[0, 4, 0, -4*r2]
(482, 546, 294, 460, 77, 366, 529, 502, 218, 316, 445, 159)->[-2, 2, -2*r2, -4*r2]
(2, 345, 266, 465, 114, 84, 341, 118, 217, 571, 574, 191)->[4, -4, -2*r2, -2*r2]
(163, 165, 550, 361, 493, 559, 561, 178, 53, 153, 570, 381)->[-6, 2, 2*r2, 0]
(450, 291, 517, 395, 428, 48, 401, 146, 464, 277, 311, 125)->[-6, -2, -2*r2, 0]
(1, 35, 420, 264, 44, 431, 498, 120, 89, 476, 92, 542)->[-2, -2, 2*r2, 4*r2]
(259, 524, 397, 238, 429, 19, 372, 531, 564, 410, 156, 383)->[6, 2, 0, -2*r2]
(321, 131, 166, 520, 9, 494, 15, 239, 526, 499, 55, 187)->[-2, 6, 2*r2, 0]
(96, 130, 131, 421, 170, 331, 523, 15, 538, 121, 282, 543)->[-2, 6, 0, 2*r2]
(416, 38, 423, 168, 268, 524, 212, 244, 182, 56, 252, 383)->[4, 0, 0, -4*r2]
(194, 195, 291, 322, 6, 135, 325, 48, 49, 469, 440, 94)->[-6, -2, 0, 2*r2]
(352, 416, 268, 141, 238, 207, 558, 465, 531, 118, 60, 317)->[6, -2, 0, -2*r2]
(418, 133, 360, 91, 236, 364, 365, 500, 471, 155, 92, 542)->[2, -2, 2*r2, 4*r2]
(550, 72, 173, 110, 301, 528, 338, 53, 216, 186, 315, 284)->[-6, 2, 0, -2*r2]
(567, 73, 201, 457, 174, 463, 177, 51, 343, 379, 572, 63)->[-2, -6, -2*r2, 0]
(161, 387, 359, 136, 43, 13, 508, 506, 372, 90, 156, 573)->[4, 4, -2*r2, -2*r2]
(512, 33, 229, 363, 427, 174, 399, 112, 403, 532, 343, 351)->[-2, -6, 0, 2*r2]
(256, 289, 321, 518, 393, 522, 142, 14, 337, 243, 499, 249)->[2, 6, 2*r2, 0]
(344, 132, 355, 549, 553, 242, 85, 54, 151, 248, 534, 124)->[4, 0, 4*r2, 0]
(547, 356, 485, 9, 41, 298, 108, 489, 144, 314, 187, 222)->[-2, 6, 0, -2*r2]
(516, 165, 166, 488, 298, 107, 173, 110, 239, 559, 309, 222)->[-4, 4, 2*r2, -2*r2]
(483, 446, 293, 72, 42, 203, 395, 80, 401, 284, 285, 413)->[-6, 2, -2*r2, 0]
(318, 351, 103, 264, 138, 427, 44, 479, 49, 278, 94, 287)->[-4, -4, 2*r2, 2*r2]
(258, 36, 202, 537, 432, 17, 149, 150, 215, 246, 437, 154)->[2, 2, -2*r2, 4*r2]
(290, 231, 59, 330, 429, 410, 506, 52, 122, 283, 508, 414)->[6, 2, -2*r2, 0]
(288, 7, 232, 233, 487, 555, 12, 396, 17, 467, 215, 27)->[2, -2, -2*r2, 4*r2]
(384, 354, 484, 453, 70, 552, 555, 204, 396, 179, 408, 319)->[-2, -2, -2*r2, 4*r2]
(386, 483, 6, 554, 335, 497, 210, 178, 340, 469, 381, 413)->[-6, 2, 0, 2*r2]
(385, 66, 290, 392, 490, 556, 78, 240, 283, 61, 382, 255)->[4, 0, -4*r2, 0]
(194, 484, 325, 237, 177, 146, 179, 20, 403, 532, 572, 125)->[-4, -4, -2*r2, 2*r2]
(329, 140, 141, 333, 242, 466, 276, 406, 248, 505, 123, 60)->[6, -2, 2*r2, 0]
(449, 553, 205, 111, 336, 370, 147, 21, 504, 442, 124, 540)->[2, -2, 4*r2, -2*r2]
(128, 2, 4, 208, 496, 533, 88, 377, 251, 541, 574, 31)->[2, -6, 0, -2*r2]
(514, 357, 262, 462, 79, 466, 276, 214, 342, 185, 30, 415)->[6, -2, 0, 2*r2]
(32, 160, 98, 225, 228, 229, 257, 363, 183, 24, 539, 219)->[2, -6, 0, 2*r2]
(226, 486, 551, 11, 332, 45, 557, 563, 279, 220, 29, 158)->[-2, -2, -4*r2, -2*r2]
(34, 67, 292, 328, 364, 305, 115, 23, 280, 473, 155, 478)->[2, 2, 2*r2, 4*r2]
(323, 38, 39, 519, 74, 426, 300, 434, 307, 212, 373, 312)->[2, 2, 2*r2, -4*r2]
(326, 104, 297, 143, 208, 113, 433, 495, 180, 405, 377, 126)->[0, -4, 0, -4*r2]
(386, 389, 421, 169, 523, 493, 494, 304, 561, 340, 55, 507)->[-4, 4, 2*r2, 2*r2]
(391, 201, 235, 113, 211, 116, 379, 310, 405, 565, 251, 541)->[-2, -6, 0, -2*r2]
(480, 449, 4, 458, 333, 558, 367, 21, 406, 25, 317, 31)->[4, -4, 2*r2, -2*r2]
(224, 544, 419, 423, 168, 297, 143, 562, 84, 475, 157, 191)->[2, -2, -2*r2, -4*r2]
(96, 192, 34, 258, 320, 398, 432, 209, 274, 538, 473, 58)->[0, 4, 0, 4*r2]
(198, 111, 241, 370, 83, 501, 152, 409, 444, 28, 349, 286)->[-2, -2, 4*r2, -2*r2]
(162, 573, 265, 447, 13, 78, 430, 407, 411, 348, 477, 255)->[2, 2, -4*r2, -2*r2]
(224, 407, 162, 3, 263, 136, 43, 182, 316, 252, 157, 159)->[2, 2, -2*r2, -4*r2]
(356, 485, 294, 42, 77, 46, 301, 80, 338, 87, 569, 188)->[-4, 4, -2*r2, -2*r2]
(256, 227, 519, 40, 492, 19, 243, 564, 312, 189, 62, 511)->[4, 4, 2*r2, -2*r2]
(32, 480, 8, 521, 458, 491, 175, 496, 181, 533, 346, 539)->[2, -6, 2*r2, 0]
(36, 262, 232, 171, 236, 334, 500, 246, 23, 27, 478, 415)->[4, 0, 0, 4*r2]
(146, 20, 277, 279, 158, 551, 428, 177, 51, 311, 567, 572, 450, 457, 332, 206, 463, 220, 481, 99, 230, 486, 237, 125)->[-2*r2, -2*r2, -4, 0]
(515, 10, 147, 28, 540, 548, 37, 426, 300, 307, 323, 74, 205, 336, 83, 105, 106, 111, 241, 370, 373, 501, 503, 254)->[0, 0, 4, -4]
(388, 5, 510, 391, 400, 273, 405, 50, 435, 180, 310, 438, 326, 455, 81, 82, 93, 235, 495, 113, 116, 245, 376, 126)->[-2*r2, -2*r2, 0, -4]
(1, 133, 134, 390, 280, 155, 412, 542, 292, 420, 306, 566, 57, 67, 461, 92, 476, 102, 364, 365, 498, 115, 371, 119)->[0, 0, 4, 4]
(517, 6, 135, 395, 401, 284, 413, 163, 291, 550, 48, 178, 53, 440, 186, 315, 570, 324, 327, 72, 464, 469, 483, 381)->[-4*r2, 0, 0, 0]
(256, 132, 393, 142, 151, 536, 549, 40, 172, 54, 62, 193, 71, 337, 468, 344, 355, 492, 369, 243, 374, 375, 249, 511)->[2*r2, 2*r2, 4, 0]
(11, 529, 407, 411, 157, 29, 159, 544, 162, 419, 45, 557, 562, 563, 316, 447, 460, 475, 348, 477, 224, 226, 482, 366)->[0, 0, -4, -4]
(128, 257, 521, 533, 539, 541, 32, 33, 174, 565, 63, 73, 201, 211, 343, 88, 346, 98, 229, 363, 251, 112, 496, 379)->[0, -4*r2, 0, 0]
(392, 265, 267, 13, 272, 275, 404, 283, 161, 290, 296, 302, 430, 573, 330, 78, 90, 100, 231, 490, 506, 508, 253, 255)->[2*r2, 2*r2, -4, 0]
(259, 261, 141, 397, 525, 531, 276, 410, 414, 30, 429, 52, 59, 60, 329, 462, 207, 466, 214, 342, 352, 238, 505, 122)->[4*r2, 0, 0, 0]
(129, 385, 137, 266, 271, 402, 556, 436, 313, 441, 571, 61, 575, 448, 66, 459, 341, 345, 217, 221, 350, 240, 114, 382)->[2*r2, -2*r2, -4, 0]
(513, 8, 139, 140, 21, 406, 534, 164, 553, 175, 303, 181, 442, 449, 458, 333, 85, 480, 504, 491, 242, 248, 123, 124)->[2*r2, -2*r2, 4, 0]
(138, 270, 530, 148, 278, 152, 409, 286, 287, 295, 176, 560, 444, 318, 198, 339, 347, 349, 95, 479, 358, 103, 109, 127)->[-2*r2, -2*r2, 4, 0]
(386, 260, 523, 398, 274, 538, 543, 421, 554, 304, 439, 58, 335, 209, 210, 340, 470, 96, 101, 234, 368, 497, 121, 507)->[-2*r2, 2*r2, 0, 4]
(514, 262, 7, 12, 24, 27, 415, 160, 288, 418, 183, 185, 79, 471, 91, 219, 225, 228, 357, 487, 232, 360, 236, 500)->[2*r2, -2*r2, 0, 4]
(258, 16, 23, 537, 417, 34, 545, 36, 424, 171, 432, 305, 437, 568, 192, 320, 197, 328, 334, 213, 473, 478, 246, 380)->[2*r2, 2*r2, 0, 4]
(130, 131, 518, 9, 522, 14, 15, 144, 282, 289, 41, 170, 47, 314, 187, 321, 452, 69, 200, 75, 76, 331, 489, 499)->[0, 4*r2, 0, 0]
(512, 264, 399, 403, 532, 35, 427, 44, 431, 49, 179, 319, 194, 195, 322, 325, 70, 204, 89, 94, 351, 354, 484, 120)->[-2*r2, -2*r2, 0, 4]
(384, 396, 17, 18, 145, 149, 150, 535, 408, 154, 552, 555, 443, 196, 453, 202, 467, 86, 215, 474, 223, 233, 117, 247)->[0, 0, -4, 4]
(389, 520, 526, 527, 153, 165, 166, 167, 169, 559, 561, 308, 55, 65, 68, 353, 488, 361, 362, 107, 493, 494, 239, 250)->[-2*r2, 2*r2, 4, 0]
(2, 4, 268, 143, 25, 31, 416, 423, 168, 297, 558, 433, 56, 317, 574, 191, 208, 465, 84, 104, 367, 244, 118, 377)->[2*r2, -2*r2, 0, -4]
(516, 394, 528, 546, 547, 294, 425, 298, 173, 301, 309, 445, 64, 454, 77, 338, 216, 218, 222, 356, 485, 108, 110, 502)->[-2*r2, 2*r2, 0, -4]
(3, 387, 263, 136, 519, 524, 19, 156, 38, 39, 43, 434, 564, 182, 312, 189, 199, 212, 227, 359, 372, 252, 509, 383)->[2*r2, 2*r2, 0, -4]
(128, 2, 388, 137, 158, 297, 557, 562, 51, 310, 313, 191, 63, 326, 201, 457, 332, 345, 475, 226, 113, 114, 377, 251)->[0, -4, -2*r2, -2*r2]
(133, 262, 390, 139, 525, 276, 23, 151, 171, 172, 305, 54, 185, 197, 329, 85, 214, 360, 236, 364, 115, 375, 248, 123)->[4, 0, 2*r2, 2*r2]
(384, 7, 396, 398, 17, 274, 149, 280, 155, 27, 542, 35, 36, 432, 204, 471, 89, 473, 476, 478, 354, 234, 368, 500)->[0, 0, 0, 4*r2]
(516, 10, 400, 273, 152, 163, 548, 165, 167, 560, 53, 438, 186, 444, 324, 454, 455, 339, 216, 361, 107, 110, 241, 501)->[-4, 0, 2*r2, -2*r2]
(256, 519, 520, 9, 289, 547, 166, 39, 298, 300, 309, 189, 64, 199, 74, 337, 488, 489, 362, 369, 499, 503, 254, 511)->[0, 4, 2*r2, -2*r2]
(512, 129, 257, 12, 402, 20, 532, 160, 288, 552, 555, 177, 179, 443, 319, 448, 73, 459, 463, 467, 343, 219, 481, 363)->[0, -4, -2*r2, 2*r2]
(258, 269, 16, 145, 275, 404, 150, 537, 154, 282, 26, 422, 296, 302, 320, 452, 200, 331, 209, 86, 470, 96, 121, 378)->[0, 4, -2*r2, 2*r2]
(18, 279, 535, 281, 411, 29, 45, 430, 436, 184, 441, 61, 190, 66, 456, 78, 348, 220, 223, 99, 230, 490, 247, 253)->[0, 0, -4*r2, 0]
(8, 399, 24, 32, 418, 164, 420, 44, 303, 181, 566, 318, 346, 91, 92, 351, 479, 225, 229, 358, 365, 112, 120, 127)->[0, -4, 2*r2, 2*r2]
(259, 261, 518, 522, 19, 410, 156, 414, 545, 424, 62, 69, 330, 76, 468, 213, 90, 227, 100, 359, 243, 249, 506, 380)->[4, 4, 0, 0]
(4, 521, 530, 21, 405, 409, 25, 28, 540, 541, 175, 176, 50, 565, 442, 198, 458, 208, 104, 106, 496, 370, 116, 126)->[0, -4, 2*r2, -2*r2]
(513, 515, 132, 527, 148, 534, 536, 412, 286, 549, 306, 68, 205, 83, 349, 353, 102, 109, 111, 374, 119, 504, 250, 124)->[0, 0, 4*r2, 0]
(131, 134, 393, 523, 14, 142, 526, 538, 417, 34, 292, 169, 170, 304, 57, 58, 192, 65, 193, 67, 321, 71, 328, 494)->[0, 4, 2*r2, 2*r2]
(3, 394, 143, 529, 157, 544, 546, 37, 38, 168, 425, 426, 433, 434, 180, 182, 56, 316, 323, 105, 495, 245, 502, 376)->[0, 0, 0, -4*r2]
(266, 524, 407, 283, 416, 419, 423, 43, 429, 52, 571, 573, 84, 477, 224, 352, 508, 238, 240, 372, 118, 252, 382, 255)->[4, 0, -2*r2, -2*r2]
(387, 263, 136, 265, 267, 13, 144, 22, 159, 161, 162, 41, 299, 46, 47, 569, 447, 75, 77, 218, 485, 108, 366, 509)->[0, 4, -2*r2, -2*r2]
(517, 11, 395, 528, 284, 285, 294, 551, 428, 563, 315, 188, 445, 450, 451, 460, 80, 81, 82, 338, 93, 482, 486, 510)->[-4, 0, -2*r2, -2*r2]
(1, 260, 389, 264, 138, 153, 287, 295, 431, 178, 308, 440, 570, 195, 461, 210, 340, 469, 347, 94, 493, 498, 371, 507)->[-4, 0, 2*r2, 2*r2]
(385, 392, 271, 272, 415, 290, 556, 437, 568, 59, 575, 202, 334, 462, 342, 215, 357, 231, 232, 233, 487, 117, 246, 122)->[4, 0, -2*r2, 2*r2]
(130, 386, 15, 543, 421, 550, 42, 173, 301, 559, 561, 55, 314, 187, 446, 72, 87, 222, 97, 483, 356, 239, 497, 381)->[-4, 4, 0, 0]
(5, 135, 391, 270, 403, 278, 33, 291, 427, 174, 49, 435, 311, 567, 572, 194, 327, 464, 211, 95, 103, 235, 379, 125)->[-4, -4, 0, 0]
(268, 141, 397, 147, 531, 406, 40, 553, 558, 307, 564, 312, 449, 336, 212, 344, 355, 492, 367, 242, 244, 373, 505, 383)->[4, 0, 2*r2, -2*r2]
(514, 140, 533, 539, 30, 31, 183, 60, 317, 574, 333, 79, 207, 465, 466, 341, 88, 217, 221, 350, 480, 98, 228, 491)->[4, -4, 0, 0]
