x,y,z,w,center_w,cell
0.0,-0.8090169943749475,0.30901699437494745,0.5,0.80901700258255,83
-0.8090169943749475,0.0,0.5,0.30901699437494745,0.80901700258255,29
0.0,-0.5,0.8090169943749475,-0.30901699437494745,0.30901700258255005,261
0.8090169943749475,-0.30901699437494745,0.0,0.5,0.80901700258255,44
0.0,0.0,0.0,-1.0,-0.80901700258255,15
0.8090169943749475,-0.30901699437494745,0.0,-0.5,0.0,5
-0.5,-0.30901699437494745,-0.8090169943749475,0.0,0.5,99
0.0,0.8090169943749475,-0.30901699437494745,-0.5,0.0,4
-0.5,0.0,-0.30901699437494745,-0.8090169943749475,-0.30901700258255005,89
-0.8090169943749475,0.0,-0.5,0.30901699437494745,0.80901700258255,3
0.5,-0.30901699437494745,0.8090169943749475,0.0,0.5,30
0.30901699437494745,-0.8090169943749475,0.5,0.0,0.5,43
0.5,-0.5,0.5,0.5,0.80901700258255,167
0.30901699437494745,0.8090169943749475,-0.5,0.0,0.5,65
-0.30901699437494745,0.0,0.8090169943749475,0.5,0.80901700258255,45
0.0,0.5,-0.8090169943749475,-0.30901699437494745,0.30901700258255005,14
0.0,-0.30901699437494745,0.5,0.8090169943749475,1.0,260
-0.5,-0.5,0.5,-0.5,0.0,23
-0.30901699437494745,0.5,0.0,0.8090169943749475,1.0,28
-0.30901699437494745,-0.5,0.0,-0.8090169943749475,-0.30901700258255005,139
0.0,0.5,-0.8090169943749475,0.30901699437494745,0.80901700258255,206
0.5,0.5,0.5,-0.5,0.0,38
0.30901699437494745,-0.5,0.0,0.8090169943749475,1.0,331
0.0,-0.5,0.8090169943749475,0.30901699437494745,0.80901700258255,45
-0.5,0.0,0.30901699437494745,0.8090169943749475,1.0,28
0.0,0.30901699437494745,-0.5,-0.8090169943749475,-0.30901700258255005,93
0.0,0.8090169943749475,0.30901699437494745,-0.5,0.0,4
0.30901699437494745,0.5,0.0,-0.8090169943749475,-0.30901700258255005,7
0.30901699437494745,0.0,0.8090169943749475,-0.5,0.0,37
0.8090169943749475,0.30901699437494745,0.0,0.5,0.80901700258255,141
