(17, 69)
(17, 73)
(17, 89)
(17, 112)
(18, 27)
(18, 40)
(18, 54)
(18, 61)
(18, 66)
(18, 74)
(18, 76)
(18, 85)
(18, 96)
(18, 98)
(18, 109)
(19, 29)
(19, 30)
(19, 40)
(19, 43)
(19, 56)
(19, 72)
(19, 74)
(19, 97)
(19, 98)
(19, 105)
(19, 115)
(20, 29)
(20, 32)
(20, 37)
(20, 51)
(20, 61)
(20, 69)
(20, 74)
(20, 78)
(20, 96)
(20, 105)
(20, 110)
(21, 43)
(21, 46)
(21, 57)
(21, 65)
(21, 68)
(21, 71)
(21, 72)
(21, 79)
(21, 91)
(22, 34)
(22, 68)
(22, 79)
(22, 82)
(22, 91)
(22, 92)
(22, 104)
(22, 107)
(22, 113)
(23, 35)
(23, 37)
(23, 38)
(23, 42)
(23, 78)
(23, 97)
(23, 103)
(23, 105)
(23, 115)
(23, 117)
(24, 26)
(24, 27)
(24, 63)
(24, 66)
(24, 67)
(24, 88)
(24, 90)
(24, 101)
(25, 44)
(25, 45)
(25, 50)
(25, 70)
(25, 84)
(25, 87)
(25, 89)
(25, 93)
(25, 102)
(25, 106)
(25, 112)
(25, 119)
(26, 67)
(26, 90)
(26, 93)
(26, 101)
(26, 102)
(26, 112)
(27, 32)
(27, 48)
(27, 61)
(27, 66)
(27, 67)
(27, 76)
(27, 88)
(27, 96)
(28, 42)
(28, 47)
(28, 50)
(28, 55)
(28, 59)
(28, 77)
(28, 83)
(28, 84)
(28, 103)
(28, 119)
(29, 30)
(29, 40)
(29, 74)
(29, 81)
(29, 96)
(29, 99)
(29, 105)
(29, 110)
(30, 43)
(30, 65)
(30, 81)
(30, 83)
(30, 97)
(30, 103)
(30, 105)
(30, 110)
(31, 34)
(31, 53)
(31, 54)
(31, 56)
(31, 68)
(31, 72)
(31, 80)
(31, 94)
(31, 98)
(31, 107)
(31, 109)
(32, 48)
(32, 51)
(32, 61)
(32, 67)
(32, 69)
(32, 96)
(33, 39)
(33, 41)
(33, 47)
(33, 62)
(33, 86)
(33, 87)
(33, 95)
(33, 100)
(33, 111)
(33, 118)
(34, 53)
(34, 68)
(34, 79)
(34, 80)
(34, 92)
(34, 107)
(34, 118)
(35, 37)
(35, 38)
(35, 58)
(35, 62)
(35, 75)
(35, 85)
(35, 94)
(35, 95)
(35, 115)
(35, 117)
(36, 39)
(36, 45)
(36, 46)
(36, 50)
(36, 59)
(36, 70)
(36, 77)
(36, 79)
(36, 104)
(37, 38)
(37, 51)
(37, 61)
(37, 74)
(37, 75)
(37, 78)
(37, 85)
(37, 105)
(37, 115)
(38, 42)
(38, 51)
(38, 64)
(38, 75)
(38, 78)
(38, 86)
(38, 95)
(39, 47)
(39, 50)
(39, 70)
(39, 77)
(39, 87)
(39, 100)
(39, 111)
(39, 118)
(40, 54)
(40, 57)
(40, 72)
(40, 74)
(40, 76)
(40, 96)
(40, 98)
(40, 99)
(41, 53)
(41, 58)
(41, 62)
(41, 63)
(41, 92)
(41, 95)
(41, 100)
(41, 101)
(41, 118)
(42, 47)
(42, 55)
(42, 64)
(42, 78)
(42, 86)
(42, 103)
(42, 119)
(43, 56)
(43, 65)
(43, 72)
(43, 83)
(43, 97)
(43, 116)
(44, 45)
(44, 49)
(44, 60)
(44, 73)
(44, 84)
(44, 89)
(44, 106)
(44, 108)
(44, 112)
(44, 114)
(45, 46)
(45, 50)
(45, 59)
(45, 70)
(45, 84)
(45, 104)
(45, 106)
(45, 108)
(45, 114)
(46, 59)
(46, 65)
(46, 71)
(46, 79)
(46, 91)
(46, 104)
(46, 108)
(46, 114)
(47, 50)
(47, 77)
(47, 86)
(47, 87)
(47, 111)
(47, 119)
(48, 52)
(48, 60)
(48, 67)
(48, 73)
(48, 76)
(48, 88)
(48, 96)
(48, 99)
(49, 55)
(49, 60)
(49, 69)
(49, 81)
(49, 84)
(49, 89)
(49, 108)
(49, 110)
(50, 59)
(50, 70)
(50, 77)
(50, 84)
(50, 87)
(50, 119)
(51, 61)
(51, 64)
(51, 69)
(51, 75)
(51, 78)
(52, 57)
(52, 60)
(52, 71)
(52, 73)
(52, 76)
(52, 82)
(52, 88)
(52, 91)
(52, 99)
(52, 114)
(53, 58)
(53, 62)
(53, 63)
(53, 80)
(53, 92)
(53, 94)
(53, 107)
(53, 109)
(53, 118)
(54, 57)
(54, 66)
(54, 68)
(54, 72)
(54, 76)
(54, 82)
(54, 98)
(54, 107)
(54, 109)
(55, 64)
(55, 69)
(55, 78)
(55, 84)
(55, 89)
(55, 103)
