x,y,dir,ref,pt
-11.5,-12.9903810568,6,False,7
-10,-12.124355653,4,False,7
-8.5,-12.9903810568,2,False,7
-5.5,-16.4544826719,0,False,7
-7,-17.3205080757,10,False,7
-14.5,-6.06217782649,6,False,3
-14.5,-6.06217782649,4,True,11
-13,-6.92820323028,10,False,7
-14.5,-6.06217782649,8,False,7
-14.5,-4.33012701892,6,False,7
-13,2.6645352591e-15,4,False,7
-11.5,-0.866025403784,2,False,7
-14.5,-0.866025403784,6,False,7
-5.5,-6.06217782649,4,False,3
-5.5,-6.06217782649,6,True,11
-5.5,-7.79422863406,8,False,7
-5.5,-6.06217782649,6,False,7
-4,-5.19615242271,4,False,7
0.5,-4.33012701892,2,False,7
0.5,-6.06217782649,0,False,7
-1,-3.46410161514,4,False,7
-1,-13.8564064606,2,False,3
-1,-13.8564064606,8,True,11
-2.5,-14.7224318643,6,False,7
-1,-13.8564064606,4,False,7
0.5,-14.7224318643,2,False,7
3.5,-18.1865334795,0,False,7
2,-19.0525588833,10,False,7
3.5,-16.4544826719,2,False,7
6.5,-25.1147367097,0,False,3
6.5,-25.1147367097,10,True,11
5,-24.248711306,4,False,7
6.5,-25.1147367097,2,False,7
6.5,-26.8467875173,0,False,7
5,-31.1769145362,10,False,7
3.5,-30.3108891325,8,False,7
6.5,-30.3108891325,0,False,7
-2.5,-25.1147367097,10,False,3
-2.5,-25.1147367097,0,True,11
-2.5,-23.3826859022,2,False,7
-2.5,-25.1147367097,0,False,7
-4,-25.9807621135,10,False,7
-8.5,-26.8467875173,8,False,7
-8.5,-25.1147367097,6,False,7
-7,-27.7128129211,10,False,7
11,-17.3205080757,2,False,3
11,-17.3205080757,8,True,11
9.5,-18.1865334795,6,False,7
11,-17.3205080757,4,False,7
12.5,-18.1865334795,2,False,7
15.5,-21.6506350946,0,False,7
14,-22.5166604984,10,False,7
15.5,-19.918584287,2,False,7
